"행정구역별","연령·교육정도별","구분별","항목","단위","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년",
"전국","20-24세","자녀교육(초등학생)","인원","명","104.849","366.681","0","0","44.27","0","0","0","0","0","0",
"전국","20-24세","자녀교육(초등학생)","비율","%",".00545",".01823","0","0",".24269","0","0","0","0","0","0",
"전국","20-24세","가족돌봄","인원","명","","","","129.073","159.076","133.861","0","0","0","0","0",
"전국","20-24세","가족돌봄","비율","%","","","",".55725",".87208",".63042","0","0","0","0","0",
"전국","20-24세","육아","인원","명","7712.689","4554.941","6756.402","5699.606","4679.393","4564.595","4578.135","5601.176","5027.021","3468.505","2077.963",
"전국","20-24세","육아","비율","%",".40054",".22646",".34123","24.60725","25.65304","21.49697","22.33169","29.35248","30.3826","32.72345","32.1",
"전국","25-29세","경력단절여성 전체","인원","명","214654.39","197698.879","192292.957","166167.684","158101.941","139556.16","123207.658","119412.727","101249.883","86086.43","68882.342",
"전국","25-29세","경력단절여성 전체","비율","%","11.14753","9.82892","9.71171","100","100","100","100","100","100","100","100",
"전국","25-29세","결혼준비","인원","명","87439.463","83481.747","78594.175","67037.785","61438.86","53314.395","43551.239","41340.585","34332.838","23832.42","22569.8",
"전국","25-29세","결혼준비","비율","%","4.54095","4.15043","3.96938","40.34346","38.86028","38.20282","35.34783","34.61992","33.90901","27.68429","32.8",
"전국","25-29세","임신, 출산","인원","명","68335.658","66054.532","61556.322","50576.158","51598.936","50659.811","46681.667","41832.026","30607.954","27695.476","21134.959",
"전국","25-29세","임신, 출산","비율","%","3.54884","3.28401","3.10889","30.43682","32.6365","36.30066","37.88861","35.03146","30.23011","32.17171","30.7",
"전국","25-29세","자녀교육(초등학생)","인원","명","922.5","1763.364","891.306","791.957","372.725","541.451","316.08","734.328","327.759","1059.257","1022.875",
"전국","25-29세","자녀교육(초등학생)","비율","%",".04791",".08767",".04502",".4766",".23575",".38798",".25654",".61495",".32371","1.23046","1.5",
"전국","25-29세","가족돌봄","인원","명","","","","3213.853","1161.071","1002.164","1153.219","724.065","1550.128","754.889","223.487",
"전국","25-29세","가족돌봄","비율","%","","","","1.9341",".73438",".71811",".936",".60635","1.53099",".8769",".3",
"전국","25-29세","육아","인원","명","57956.769","46399.236","51251.154","44547.931","43530.349","34038.339","31505.453","34781.723","34431.204","32744.388","23931.221",
"전국","25-29세","육아","비율","%","3.00984","2.30681","2.58843","26.80902","27.53309","24.39042","25.57102","29.12732","34.00617","38.03664","34.7",
"전국","30-34세","경력단절여성 전체","인원","명","558476.177","581768.736","547711.589","545922.003","497815.381","474843.803","403316.257","361336.572","319204.063","253307.779","234286.712",
"전국","30-34세","경력단절여성 전체","비율","%","29.00305","28.92356","27.66205","100","100","100","100","100","100","100","100",
"전국","30-34세","결혼준비","인원","명","221835.375","226043.162","217337.492","195304.768","162578.608","154104.289","129949.116","114104.07","93510.801","62588.45","59232.984",
"전국","30-34세","결혼준비","비율","%","11.52046","11.2381","10.97658","35.77521","32.65841","32.45368","32.22015","31.57833","29.29499","24.70846","25.3",
"전국","30-34세","임신, 출산","인원","명","137724.506","171747.945","144871.085","151773.976","159054.64","160080.341","130970.22","107852.202","97177.001","65481.301","63718.052",
"전국","30-34세","임신, 출산","비율","%","7.15237","8.53872","7.31668","27.8014","31.95053","33.71221","32.47333","29.84813","30.44354","25.85049","27.2",
"전국","30-34세","자녀교육(초등학생)","인원","명","8512.697","8603.604","6799.496","6554.456","6134.142","6710.029","5563.482","4061.635","3759.033","4326.377","2944.78",
"전국","30-34세","자녀교육(초등학생)","비율","%",".44209",".42774",".34341","1.20062","1.23221","1.4131","1.37943","1.12406","1.17763","1.70795","1.3",
"전국","30-34세","가족돌봄","인원","명","","","","7308.036","4599.28","3042.962","2711.603","2882.586","3154.992","2877.105","1005.81",
"전국","30-34세","가족돌봄","비율","%","","","","1.33866",".92389",".64083",".67233",".79776",".98839","1.13581",".4",
"전국","30-34세","육아","인원","명","190403.599","175374.025","178703.516","184980.767","165448.711","150906.182","134121.836","132436.079","121602.236","118034.546","107385.086",
"전국","30-34세","육아","비율","%","9.88813","8.719","9.02538","33.8841","33.23495","31.78017","33.25476","36.65172","38.09545","46.59728","45.8",
"전국","35-39세","경력단절여성 전체","인원","명","536865.89","550099.563","544193.688","574140.774","593116.718","539486.145","529502.083","524957.987","486288.025","441345.059","420769.066",
"전국","35-39세","경력단절여성 전체","비율","%","27.88077","27.34908","27.48438","100","100","100","100","100","100","100","100",
"전국","35-39세","결혼준비","인원","명","227994.552","233005.745","213929.943","199125.729","183738.344","160332.888","152992.465","157265.213","129018.697","101926.458","98437.275",
"전국","35-39세","결혼준비","비율","%","11.84032","11.58425","10.80449","34.68239","30.97845","29.71956","28.89365","29.95768","26.53133","23.09451","23.4",
"전국","35-39세","임신, 출산","인원","명","108736.998","138592.415","114827.463","127095.95","155107.284","150926.728","143999.424","136238.297","119818.763","101489.065","102656.985",
"전국","35-39세","임신, 출산","비율","%","5.64698","6.89034","5.79934","22.13672","26.15122","27.97602","27.19525","25.95223","24.63946","22.9954","24.4",
"전국","35-39세","자녀교육(초등학생)","인원","명","29534.848","26596.172","23242.146","25835.16","23646.308","20725.683","19944.758","16969.924","14784.347","13812.619","11323.161",
"전국","35-39세","자녀교육(초등학생)","비율","%","1.53382","1.32227","1.17384","4.4998","3.98679","3.84175","3.7667","3.23263","3.04024","3.12966","2.7",
"전국","35-39세","가족돌봄","인원","명","","","","13341.222","8791.91","6461.064","6238.506","5680.257","5519.385","5231.58","4012.997",
"전국","35-39세","가족돌봄","비율","%","","","","2.32368","1.48232","1.19763","1.17818","1.08204","1.135","1.18537","1",
"전국","35-39세","육아","인원","명","170599.492","151905.231","192194.136","208742.713","221832.872","201039.782","206326.93","208804.296","217146.833","218885.337","204338.648",
"전국","35-39세","육아","비율","%","8.85965","7.55221","9.70672","36.35741","37.40122","37.26505","38.96622","39.77543","44.65395","49.59506","48.6",
"전국","40-44세","경력단절여성 전체","인원","명","289837.655","357955.071","370008.689","427223.294","412515.147","377378.429","380332.375","395628.603","388473.006","351121.402","356208.977",
"전국","40-44세","경력단절여성 전체","비율","%","15.05198","17.79631","18.68721","100","100","100","100","100","100","100","100",
"전국","40-44세","결혼준비","인원","명","152990.143","183955.256","187954.335","172700.914","162204.018","126084.8","132990.184","132722.275","108594.795","94072.679","93421.233",
"전국","40-44세","결혼준비","비율","%","7.94516","9.14563","9.49259","40.42404","39.32074","33.41071","34.96683","33.54719","27.95427","26.79207","26.2",
"전국","40-44세","임신, 출산","인원","명","39416.591","69870.358","58137.431","65074.027","81739.161","83578.242","76438.624","89519.41","75439.2","67125.816","74809.676",
"전국","40-44세","임신, 출산","비율","%","2.047","3.47372","2.93622","15.23185","19.81483","22.14706","20.09785","22.62713","19.41942","19.11755","21",
"전국","40-44세","자녀교육(초등학생)","인원","명","25097.202","23953.533","25354.89","35112.648","31570.718","27673.584","26415.733","25810.649","24670.475","23065.403","18459.127",
"전국","40-44세","자녀교육(초등학생)","비율","%","1.30336","1.19089","1.28054","8.2188","7.65323","7.33311","6.94543","6.52396","6.35063","6.56907","5.2",
"전국","40-44세","가족돌봄","인원","명","","","","33763.912","18338.961","21052.636","16562.681","14278.098","13974.028","12835.571","7451.606",
"전국","40-44세","가족돌봄","비율","%","","","","7.90311","4.44565","5.57865","4.35479","3.60897","3.59717","3.65559","2.1",
"전국","40-44세","육아","인원","명","72333.719","80175.924","98562.033","120571.793","118662.289","118989.167","127925.153","133298.171","165794.508","154021.933","162067.335",
"전국","40-44세","육아","비율","%","3.75647","3.98607","4.97785","28.2222","28.76556","31.53046","33.63509","33.69275","42.67851","43.86572","45.5",
"전국","45-49세","경력단절여성 전체","인원","명","170835.627","165779.902","173435.895","229978.985","217142.993","225503.015","225977.998","264695.377","245052.609","229079.461","223109.705",
"전국","45-49세","경력단절여성 전체","비율","%","8.87192","8.24201","8.75934","100","100","100","100","100","100","100","100",
"전국","45-49세","결혼준비","인원","명","113730.528","103980.974","109302.173","105960.796","105888.235","100175.622","96762.691","107993.082","92122.118","79116.98","70352.845",
"전국","45-49세","결혼준비","비율","%","5.90631","5.16958","5.52028","46.07412","48.76429","44.42319","42.81952","40.79901","37.59279","34.53692","31.5",
"전국","45-49세","임신, 출산","인원","명","13876.669","21857.493","22416.821","22619.046","32485.155","34491.29","32780.617","43154.118","40164.315","40364.761","35752.489",
"전국","45-49세","임신, 출산","비율","%",".72065","1.08668","1.13216","9.83527","14.96026","15.29527","14.50611","16.30331","16.39008","17.62042","16",
"전국","45-49세","자녀교육(초등학생)","인원","명","10737.463","13005.323","10542.468","16072.16","11577.852","18499.454","17612.095","16084.322","17929.782","13782.506","15016.558",
"전국","45-49세","자녀교육(초등학생)","비율","%",".55762",".64658",".53245","6.98853","5.3319","8.20364","7.79372","6.07654","7.31671","6.01647","6.7",
"전국","45-49세","가족돌봄","인원","명","","","","43824.29","27911.906","27283.076","24725.732","23277.062","22750.79","19233.159","16570.767",
"전국","45-49세","가족돌봄","비율","%","","","","19.05578","12.85416","12.09876","10.94165","8.79391","9.28404","8.39585","7.4",
"전국","45-49세","육아","인원","명","32490.967","26936.112","31174.433","41502.693","39279.845","45053.573","54096.863","74186.793","72085.604","76582.055","85417.046",
"전국","45-49세","육아","비율","%","1.68734","1.33917","1.57446","18.0463","18.08939","19.97914","23.939","28.02723","29.41638","33.43035","38.3",
"전국","50-54세","경력단절여성 전체","인원","명","127974.02","133779.854","126476.772","196535.319","176218.115","145712.758","147892.424","161146.07","141565.657","133946.947","138299.54",
"전국","50-54세","경력단절여성 전체","비율","%","6.64601","6.65108","6.38768","100","100","100","100","100","100","100","100",
"전국","50-54세","결혼준비","인원","명","89838.719","100558.504","92821.052","84737.127","84270.51","66419.929","68415.99","75611.407","59441.28","49347.45","50419.632",
"전국","50-54세","결혼준비","비율","%","4.66555","4.99943","4.68791","43.11547","47.82171","45.58278","46.26065","46.92104","41.98849","36.84104","36.5",
"전국","50-54세","임신, 출산","인원","명","10646.153","11632.482","7721.278","14120.953","17674.032","15939.073","14777.733","17415.379","14588.803","15131.799","19623.869",
"전국","50-54세","임신, 출산","비율","%",".55288",".57833",".38996","7.18494","10.02963","10.93869","9.99222","10.8072","10.30533","11.29686","14.2",
"전국","50-54세","자녀교육(초등학생)","인원","명","7589.582","6507.083","6762.007","9761.9","8157.358","6407.851","6731.347","7131.995","7413.965","5941.171","6584.028",
"전국","50-54세","자녀교육(초등학생)","비율","%",".39415",".32351",".34151","4.967","4.62913","4.39759","4.55152","4.4258","5.23712","4.43547","4.8",
"전국","50-54세","가족돌봄","인원","명","","","","62349.041","41721.371","33824.401","30649.704","31440.094","27674.318","27739.564","20588.062",
"전국","50-54세","가족돌봄","비율","%","","","","31.72409","23.67598","23.21307","20.72432","19.51031","19.54875","20.70937","14.9",
"전국","50-54세","육아","인원","명","19899.566","15081.785","19172.435","25566.298","24394.844","23121.504","27317.65","29547.195","32447.291","35786.963","41083.949",
"전국","50-54세","육아","비율","%","1.03343",".74982",".9683","13.0085","13.84355","15.86787","18.4713","18.33566","22.92031","26.71727","29.7",
"전국","초졸이하","경력단절여성 전체","인원","명","23083.518","28911.693","14233.294","19602.968","18163.408","12423.891","10617.937","9042.75","6185.213","5727.058","3905.234",
"전국","초졸이하","경력단절여성 전체","비율","%","1.19878","1.43739",".71885","100","100","100","100","100","100","100","100",
"전국","초졸이하","결혼준비","인원","명","12447.832","16956.704","9268.982","6629.869","5801.003","4373.298","4367.806","2687.709","1969.972","1765.686","1050.045",
"전국","초졸이하","결혼준비","비율","%",".64645",".84303",".46813","33.82074","31.93786","35.20071","41.13611","29.72225","31.8497","30.83059","26.9",
"전국","초졸이하","임신, 출산","인원","명","3616.748","4468.244","1789.999","1408.356","2908.592","1567.614","889.438","2547.233","1188.289","1223.765","828.136",
"전국","초졸이하","임신, 출산","비율","%",".18783",".22215",".0904","7.1844","16.01347","12.61774","8.37675","28.16879","19.21177","21.36813","21.2",
"전국","초졸이하","자녀교육(초등학생)","인원","명","1387.843","2531.274","592.658","641.519","333.618","562.556","189.173","46.529","212.655","228.92","469.106",
"전국","초졸이하","자녀교육(초등학생)","비율","%",".07207",".12585",".02993","3.27256","1.83676","4.52802","1.78164",".51454","3.43812","3.99717","12",
"전국","초졸이하","가족돌봄","인원","명","","","","7885.962","5590.357","2744.597","2473.748","1608.988","1561.516","954.457","638.532",
"전국","초졸이하","가족돌봄","비율","%","","","","40.22841","30.77813","22.09128","23.29782","17.79313","25.24595","16.66575","16.4",
"전국","초졸이하","육아","인원","명","5631.095","4955.471","2581.655","3037.262","3529.838","3175.826","2697.772","2152.291","1252.781","1554.23","919.415",
"전국","초졸이하","육아","비율","%",".29244",".24637",".13039","15.49389","19.43379","25.56225","25.40769","23.80129","20.25445","27.13837","23.5",
"전국","중졸","경력단절여성 전체","인원","명","57644.908","49318.856","47636.648","60547.795","47360.035","39212.95","39145.731","35109.86","31794.25","25630.057","22855.146",
"전국","중졸","경력단절여성 전체","비율","%","2.99364","2.45197","2.40588","100","100","100","100","100","100","100","100",
"전국","중졸","결혼준비","인원","명","34014.793","29468.104","27804.859","24049.235","16522.977","13430.158","12573.086","11997.038","10192.267","7099.736","5093.386",
"전국","중졸","결혼준비","비율","%","1.76647","1.46505","1.40428","39.71942","34.88802","34.24929","32.11866","34.17","32.05695","27.70082","22.3",
"전국","중졸","임신, 출산","인원","명","6882.956","7625.299","7894.346","6325.26","8444.783","6677.862","7896.098","7013.401","6326.343","4664.162","6236.464",
"전국","중졸","임신, 출산","비율","%",".35745",".3791",".3987","10.44672","17.83103","17.02974","20.17103","19.97559","19.89776","18.19802","27.3",
"전국","중졸","자녀교육(초등학생)","인원","명","3160.973","2907.677","1707.359","2299.083","1214.241","1730.677","1272.458","440.775","651.352","1414.46","492.259",
"전국","중졸","자녀교육(초등학생)","비율","%",".16416",".14456",".08623","3.79714","2.56385","4.41353","3.25057","1.25542","2.04865","5.51875","2.2",
"전국","중졸","가족돌봄","인원","명","","","","18170.613","12072.013","8747.781","6785.07","6369.567","4516.265","4452.823","3398.707",
"전국","중졸","가족돌봄","비율","%","","","","30.01036","25.48987","22.3084","17.33285","18.14182","14.20466","17.37344","14.9",
"전국","중졸","육아","인원","명","13586.186","9317.776","10230.084","9703.604","9106.021","8626.472","10619.019","9289.079","10108.023","7998.876","7634.33",
"전국","중졸","육아","비율","%",".70556",".46325",".51667","16.02635","19.22723","21.99904","27.12689","26.45718","31.79198","31.20897","33.4",
"전국","고졸","경력단절여성 전체","인원","명","834372.771","829064.426","796733.005","866537.911","794812.375","702221.654","656162.231","627918.356","561998.628","501129.155","474868.486",
"전국","고졸","경력단절여성 전체","비율","%","43.33104","41.21827","40.23883","100","100","100","100","100","100","100","100",
"전국","고졸","결혼준비","인원","명","448982.03","435862.853","414631.092","363351.011","328290.81","270293.999","252413.207","241095.99","198152.396","158488.316","157435.652",
"전국","고졸","결혼준비","비율","%","23.31674","21.66962","20.94085","41.93135","41.30419","38.49127","38.46811","38.39607","35.25852","31.62624","33.2",
"전국","고졸","임신, 출산","인원","명","140149.054","181114.12","149407.381","155995.648","171924.907","164073.401","147310.556","140097.635","112698.011","103002.52","103424.429",
"전국","고졸","임신, 출산","비율","%","7.27829","9.00438","7.54579","18.00217","21.63088","23.3649","22.45033","22.31144","20.05308","20.55409","21.8",
"전국","고졸","자녀교육(초등학생)","인원","명","38654.624","37045.607","36540.116","41471.916","33210.917","35040.641","31731.054","25394.674","25248.658","25320.102","20245.318",
"전국","고졸","자녀교육(초등학생)","비율","%","2.00743","1.84178","1.84545","4.78593","4.17846","4.98997","4.83585","4.04426","4.49265","5.05261","4.3",
"전국","고졸","가족돌봄","인원","명","","","","90869.195","55160.44","49511.658","42490.042","41541.67","38929.92","33134.256","22170.177",
"전국","고졸","가족돌봄","비율","%","","","","10.48647","6.94006","7.05072","6.47554","6.61578","6.92705","6.61192","4.7",
"전국","고졸","육아","인원","명","206587.063","175041.846","196154.416","214850.141","206225.301","183301.955","182217.372","179788.387","186969.643","181183.961","171592.91",
"전국","고졸","육아","비율","%","10.72858","8.70249","9.90674","24.79408","25.94641","26.10315","27.77017","28.63245","33.2687","36.15514","36.1",
"전국","대졸이상","경력단절여성 전체","인원","명","1010476.465","1104105.554","1121407.601","1217071.691","1212999.781","1170447.138","1125419.759","1174420.705","1098582.148","973053.524","946428.075",
"전국","대졸이상","경력단절여성 전체","비율","%","52.47654","54.89238","56.63645","100","100","100","100","100","100","100","100",
"전국","대졸이상","결혼준비","인원","명","411415.447","462301.382","458781.254","439802.15","416004.666","379712.456","363761.712","378519.049","311966.023","246902.124","232713.307",
"전국","대졸이상","결혼준비","비율","%","21.36582","22.98405","23.17065","36.13609","34.29553","32.44166","32.32231","32.23028","28.39715","25.37395","24.6",
"전국","대졸이상","임신, 출산","인원","명","234101.682","292380.809","258610.811","276517.719","321283.332","332513.833","297441.403","294803.168","263985.074","212210.557","209771.016",
"전국","대졸이상","임신, 출산","비율","%","12.15748","14.53618","13.06108","22.71992","26.48668","28.40913","26.42937","25.10201","24.02962","21.80872","22.2",
"전국","대졸이상","자녀교육(초등학생)","인원","명","39295.701","38311.202","34752.18","49715.763","46744.597","43224.178","43390.81","44910.875","42772.696","35023.851","34143.846",
"전국","대졸이상","자녀교육(초등학생)","비율","%","2.04072","1.9047","1.75515","4.08487","3.85364","3.69296","3.85552","3.82409","3.89345","3.59938","3.6",
"전국","대졸이상","가족돌봄","인원","명","","","","47003.657","29860.765","31796.128","30292.585","28761.937","29615.94","30130.332","23645.313",
"전국","대졸이상","가족돌봄","비율","%","","","","3.86203","2.46173","2.71658","2.69167","2.44903","2.69583","3.09647","2.5",
"전국","대졸이상","육아","인원","명","325663.635","311112.161","369263.356","404032.402","399106.421","383200.543","390533.249","427425.676","450242.415","448786.66","446154.593",
"전국","대졸이상","육아","비율","%","16.91252","15.46744","18.64957","33.19709","32.90243","32.73967","34.70112","36.3946","40.98396","46.12148","47.1",
"서울특별시","전체","경력단절여성 전체","인원","명","348315.444","351973.983","323473.886","358164.526","369048.937","348007.086","348448.489","323799.958","298288.23","230542.661","238642.823",
"서울특별시","전체","경력단절여성 전체","비율","%","18.08888","17.49895","16.33698","100","100","100","100","100","100","100","100",
"서울특별시","전체","결혼준비","인원","명","140502.964","145269.936","124740.501","116397.88","125325.702","100623.889","106868.153","86157.702","68629.149","44913.48","47015.713",
"서울특별시","전체","결혼준비","비율","%","7.29667","7.22233","6.29999","32.49844","33.9591","28.91432","30.66971","26.60831","23.00766","19.48164","19.7",
"서울특별시","전체","임신, 출산","인원","명","67017.266","76922.112","70796.836","68125.952","89345.731","91954.116","77482.778","75206.468","56399.477","50667.871","39751.056",
"서울특별시","전체","임신, 출산","비율","%","3.48037","3.82431","3.57558","19.02085","24.20972","26.42306","22.23651","23.22621","18.90771","21.97766","16.7",
"서울특별시","전체","자녀교육(초등학생)","인원","명","16633.814","16677.258","10202.267","15188.18","12621.95","11441.985","15148.37","16109.384","12685.778","8714.389","6739.742",
"서울특별시","전체","자녀교육(초등학생)","비율","%",".86384",".82914",".51526","4.24056","3.42013","3.28786","4.34738","4.9751","4.25286","3.77995","2.8",
"서울특별시","전체","가족돌봄","인원","명","","","","25208.187","13665.495","15722.713","16029.529","14654.385","9604.481","7005.02","9330.934",
"서울특별시","전체","가족돌봄","비율","%","","","","7.03816","3.7029","4.51793","4.60026","4.52575","3.21987","3.03849","3.9",
"서울특별시","전체","육아","인원","명","124161.4","113104.677","117734.282","133244.327","128090.059","128264.383","132919.659","131672.019","150969.345","119241.901","135805.378",
"서울특별시","전체","육아","비율","%","6.44801","5.62318","5.94614","37.20199","34.70815","36.85683","38.14614","40.66462","50.6119","51.72227","56.9",
"서울특별시","15-19세","경력단절여성 전체","인원","명","","","","","","204.559","","","","0","",
"서울특별시","15-19세","경력단절여성 전체","비율","%","","","","","","100","","","","","",
"서울특별시","15-19세","결혼준비","인원","명","","","","","","0","","","","0","",
"서울특별시","15-19세","결혼준비","비율","%","","","","","","0","","","","","",
"서울특별시","15-19세","임신, 출산","인원","명","","","","","","0","","","","0","",
"서울특별시","15-19세","임신, 출산","비율","%","","","","","","0","","","","","",
"서울특별시","15-19세","자녀교육(초등학생)","인원","명","","","","","","0","","","","0","",
"서울특별시","15-19세","자녀교육(초등학생)","비율","%","","","","","","0","","","","","",
"서울특별시","15-19세","가족돌봄","인원","명","","","","","","0","","","","0","",
"서울특별시","15-19세","가족돌봄","비율","%","","","","","","0","","","","","",
"서울특별시","15-19세","육아","인원","명","","","","","","204.559","","","","0","",
"서울특별시","15-19세","육아","비율","%","","","","","","100","","","","","",
"서울특별시","20-24세","경력단절여성 전체","인원","명","1347.417","1399.422","2315.008","2778.219","2601.198","2207.668","1631.496","2519","2067.384","300.17","149.17",
"서울특별시","20-24세","경력단절여성 전체","비율","%",".06997",".06957",".11692","100","100","100","100","100","100","100","100",
"서울특별시","20-24세","결혼준비","인원","명","0","290.627","775.228","542.033","945.277","192.769","664.285","1259.5","1550.538","300.17","0",
"서울특별시","20-24세","결혼준비","비율","%","0",".01445",".03915","19.51009","36.34006","8.73179","40.71631","50","75","100","0",
"서울특별시","20-24세","임신, 출산","인원","명","247.639","529.632","976.775","1141.076","946.629","1305.625","760.597","755.7","258.423","0","0",
"서울특별시","20-24세","임신, 출산","비율","%",".01286",".02633",".04933","41.07221","36.39204","59.14046","46.61961","30","12.5","0","0",
"서울특별시","20-24세","자녀교육(초등학생)","인원","명","0","0","0","0","0","0","0","0","0","0","0",
"서울특별시","20-24세","자녀교육(초등학생)","비율","%","0","0","0","0","0","0","0","0","0","0","0",
"서울특별시","20-24세","가족돌봄","인원","명","","","","0","0","0","0","0","0","0","0",
"서울특별시","20-24세","가족돌봄","비율","%","","","","0","0","0","0","0","0","0","0",
"서울특별시","20-24세","육아","인원","명","1099.778","579.163","563.005","1095.11","709.292","709.274","206.614","503.8","258.423","0","149.17",
"서울특별시","20-24세","육아","비율","%",".05711",".02879",".02843","39.4177","27.2679","32.12775","12.66408","20","12.5","0","100",
"서울특별시","25-29세","경력단절여성 전체","인원","명","29852.592","23950.261","22384.982","17650.89","17295.637","15347.72","12996.216","12156.319","9680.562","8252.872","3627.593",
"서울특별시","25-29세","경력단절여성 전체","비율","%","1.55032","1.19073","1.13055","100","100","100","100","100","100","100","100",
"서울특별시","25-29세","결혼준비","인원","명","9773.513","9792.498","9130.726","5852.142","5752.021","5239.003","3289.594","2480.714","3405.411","1331.412","844.229",
"서울특별시","25-29세","결혼준비","비율","%",".50756",".48685",".46115","33.15494","33.25706","34.13538","25.31194","20.40679","35.17782","16.13271","23.3",
"서울특별시","25-29세","임신, 출산","인원","명","12792.424","6872.513","7206.563","5716.64","7015.396","5497.147","6771.45","5969.146","2152.305","2329.971","696.041",
"서울특별시","25-29세","임신, 출산","비율","%",".66434",".34168",".36397","32.38726","40.56165","35.81735","52.10324","49.10324","22.23326","28.23224","19.2",
"서울특별시","25-29세","자녀교육(초등학생)","인원","명","0","0","0","0","0","0","0","0","0","332.853","0",
"서울특별시","25-29세","자녀교육(초등학생)","비율","%","0","0","0","0","0","0","0","0","0","4.03318","0",
"서울특별시","25-29세","가족돌봄","인원","명","","","","627.678","276.726","0","0","0","0","264.4","0",
"서울특별시","25-29세","가족돌봄","비율","%","","","","3.55607","1.59998","0","0","0","0","3.20373","0",
"서울특별시","25-29세","육아","인원","명","7286.655","7285.25","6047.693","5454.43","4251.494","4611.57","2935.172","3706.459","4122.846","3994.236","2087.323",
