"성별","산업별","직업별","항목","단위","2013. 1/2","2013. 2/2","2014. 1/2","2014. 2/2","2015. 1/2","2015. 2/2","2016. 1/2","2016. 2/2","2017. 1/2","2017. 2/2","2018. 1/2","2018. 2/2","2019. 1/2","2019. 2/2","2020. 1/2","2020. 2/2","2021. 1/2",
"계","A. 농업, 임업 및 어업","3. 사무 종사자","취업자 (천명)","","8.5","10.5","8.8","8.2","8.7","8","7.9","7.2","6.5","6.9","8.8","10.9","10.1","11","9.2","9.2","8.8",
"계","A. 농업, 임업 및 어업","4. 서비스 종사자","취업자 (천명)","","1",".6",".4",".6",".4",".4",".3",".3",".2",".8",".5","1.4",".9",".9",".6",".4",".3",
"계","A. 농업, 임업 및 어업","4. 서비스 종사자","C.V.","","","","","","","","","","","","*","*","*","*","*","*","*",
"계","A. 농업, 임업 및 어업","5. 판매 종사자","취업자 (천명)","","1.5","3.2",".9","1.4","1.1","1.3",".7","1.3","1","1.8","1.5",".9","1","1.7","1.3","1.8","1.2",
"계","A. 농업, 임업 및 어업","5. 판매 종사자","C.V.","","","","","","","","","","","","*","*","*","*","*","*","*",
"계","A. 농업, 임업 및 어업","6. 농림어업 숙련? 종사자","취업자 (천명)","","1457.7","1596.6","1430.8","1475.8","1301.1","1341.9","1235.8","1299.8","1230.8","1309","1281","1376.7","1315.7","1442","1396.9","1469.9","1396.5",
"계","A. 농업, 임업 및 어업","7. 기능원 및 관련 기능 종사자","취업자 (천명)","","1",".4",".6",".7","1.2",".7",".4",".9",".4",".2","1.4","2.5","1.2","1.4","1.4",".5","1.8",
"계","A. 농업, 임업 및 어업","7. 기능원 및 관련 기능 종사자","C.V.","","","","","","","","","","","","*","","*","","","*","",
"계","A. 농업, 임업 및 어업","8. 장치,기계조작 및 조립종사자","취업자 (천명)","","4.5","5.1","3.6","3.9","2.8","4","2.2","3","2.5","3.1","3.4","3.3","1.9","2.9","2.9","2.5","1.9",
"계","A. 농업, 임업 및 어업","9. 단순노무 종사자","취업자 (천명)","","106.6","121.2","106","105.8","102.9","112.7","103.3","103.3","93.8","109.7","92.3","92.3","72.6","85.6","63.7","84.7","63",
"계","B. 광업","계","취업자 (천명)","","17.5","14.8","14.1","8.7","13.4","15.4","18.5","20.6","21.3","23","22.3","14.9","15.1","14.9","14.8","10.5","12.8",
"계","B. 광업","1. 관리자","취업자 (천명)","",".3","0",".4",".1","1.8",".6",".5","1.5","1.2",".7",".4",".8",".7",".9","1.1",".1",".2",
"계","B. 광업","1. 관리자","C.V.","","","","","","","","","","","","*","*","*","*","*","*","*",
"계","B. 광업","2. 전문가 및 관련 종사자","취업자 (천명)","",".4","2","1.8",".1",".1","1","1.6",".7",".6","1.5","1.2","1.2",".3",".1",".2",".2",".2",
"계","B. 광업","2. 전문가 및 관련 종사자","C.V.","","","","","","","","","","","","*","*","*","*","*","*","*",
"계","B. 광업","3. 사무 종사자","취업자 (천명)","","3.7","2.9","2.4","2.6","2.3","2.9","3","2.7","3.6","6.4","5.5","3.2","2.4","2.3","3.1","2.5","3",
"계","B. 광업","3. 사무 종사자","C.V.","","","","","","","","","","","","*","*","*","*","*","*","",
"계","B. 광업","4. 서비스 종사자","취업자 (천명)","",".1",".1","0","0","0",".1",".1",".1",".1",".1",".1","",".3",".4",".4",".2",".3",
"계","B. 광업","4. 서비스 종사자","C.V.","","","","","","","","","","","","*","","*","*","*","*","*",
"계","B. 광업","5. 판매 종사자","취업자 (천명)","",".2",".6",".1",".1",".6",".4",".3",".3",".2",".1",".2",".4",".1",".2","0","0","0",
"계","B. 광업","5. 판매 종사자","C.V.","","","","","","","","","","","","*","*","*","*","*","*","*",
"계","B. 광업","6. 농림어업 숙련? 종사자","취업자 (천명)","","","0","0","0","","","","","","","","","","","","","",
"계","B. 광업","7. 기능원 및 관련 기능 종사자","취업자 (천명)","","6.4","4.2","4.2","2.6","3","4.7","6.6","7.5","7.2","5.8","6.1","4.4","4.8","4.7","4.7","3.5","4.5",
"계","B. 광업","8. 장치,기계조작 및 조립종사자","취업자 (천명)","","4.7","3.9","3.1","2.1","4.2","4.3","4.8","5.4","5.8","6.9","7.2","3.8","5.7","5.6","4.9","3.3","3.7",
"계","B. 광업","9. 단순노무 종사자","취업자 (천명)","","1.7","1.1","1.9","1","1.1","1.4","1.7","2.5","2.5","1.4","1.7","1.1",".7",".6",".5",".6",".9",
"계","B. 광업","9. 단순노무 종사자","C.V.","","","","","","","","","","","","*","*","*","*","*","*","*",
"계","C. 제조업","계","취업자 (천명)","","4316.6","4346.5","4432.3","4488.7","4578.3","4671","4601","4546.5","4541.5","4560.2","4473.3","4514.9","4421.2","4434.4","4377.2","4336.1","4386.1",
"계","C. 제조업","1. 관리자","취업자 (천명)","","71.3","75.3","77.8","85.8","64.8","68.2","63.2","63","56.6","69.8","66.3","79.9","86.5","81.1","70.3","77.2","65.7",
"계","C. 제조업","2. 전문가 및 관련 종사자","취업자 (천명)","","433.7","447.3","465.4","470","474","474.7","455.1","464.9","472.8","494.2","498.9","503.9","498.9","521.5","514","520.8","533.5",
"계","C. 제조업","3. 사무 종사자","취업자 (천명)","","878.7","919.9","930.4","948.6","964.8","995.1","981.8","979.8","987","1016.9","1005","1036.4","1008.2","998.7","988.7","995.9","1015.2",
"계","C. 제조업","4. 서비스 종사자","취업자 (천명)","","11.4","11.9","12.8","13.5","14","19.4","15.7","15.9","15.6","14","12.2","14.5","15.6","16.6","13.7","15.9","15.4",
"계","C. 제조업","5. 판매 종사자","취업자 (천명)","","109.3","102.5","96.9","100.8","102","111.7","112.1","106.7","113.1","112.5","104.2","111.6","112.9","123.7","123.6","110.2","103.4",
"계","C. 제조업","6. 농림어업 숙련? 종사자","취업자 (천명)","","1.3",".2",".5",".4",".5",".2",".1",".1",".1",".1",".1",".3",".6",".7",".6",".2",".4",
"계","C. 제조업","6. 농림어업 숙련? 종사자","C.V.","","","","","","","","","","","","*","*","*","*","*","*","*",
"계","C. 제조업","7. 기능원 및 관련 기능 종사자","취업자 (천명)","","835.8","851.6","849.9","850.7","861","892.9","873.5","852.7","813.1","784.6","762.6","759.1","761.7","764.9","749.6","724.2","747.1",
"계","C. 제조업","8. 장치,기계조작 및 조립종사자","취업자 (천명)","","1570.8","1539","1595","1620.8","1661","1680","1682.6","1673","1675.8","1657.2","1660","1610.8","1576.4","1560.9","1543.2","1497.1","1497.8",
"계","C. 제조업","9. 단순노무 종사자","취업자 (천명)","","404.2","399","403.7","398.1","436.1","428.7","416.9","390.5","407.3","410.9","363.9","398.6","360.5","366.2","373.5","394.5","407.8",
"계","D. 전기, 가스, 증기 및 수도사업","계","취업자 (천명)","","76.4","74.3","67.9","72.4","80.5","82.6","76.9","70.8","70.3","68.4","72.5","63","67","69.2","65","74.7","64.5",
"계","D. 전기, 가스, 증기 및 수도사업","1. 관리자","취업자 (천명)","","1.6","3.1","1.6","1.9","3.1","1.6","3.8","3.1","2.6","2.9","1.5","1.4","2.5","1.5","1.9","1.9","1.7",
"계","D. 전기, 가스, 증기 및 수도사업","1. 관리자","C.V.","","","","","","","","","","","","*","*","*","*","*","*","*",
"계","D. 전기, 가스, 증기 및 수도사업","2. 전문가 및 관련 종사자","취업자 (천명)","","21.5","19.3","16.6","18.3","21.4","22","20","17.6","16.3","12.6","13.7","11.4","12.7","14","11.2","14.8","11.4",
"계","D. 전기, 가스, 증기 및 수도사업","3. 사무 종사자","취업자 (천명)","","25.9","26.4","25","23","23","25.3","23.8","22.1","21.5","20.9","22.4","17.6","18.1","21.1","20.8","21.9","20.3",
"계","D. 전기, 가스, 증기 및 수도사업","4. 서비스 종사자","취업자 (천명)","",".6",".7",".3",".4",".9",".5",".5",".3",".6",".7","1.5","1.5","1.3","1.2","1","1.5","1",
"계","D. 전기, 가스, 증기 및 수도사업","4. 서비스 종사자","C.V.","","","","","","","","","","","","*","*","*","*","*","*","*",
"계","D. 전기, 가스, 증기 및 수도사업","5. 판매 종사자","취업자 (천명)","",".2",".3",".1",".3",".3",".2",".1",".3",".1",".6",".6",".8",".6",".8",".6",".6",".2",
"계","D. 전기, 가스, 증기 및 수도사업","5. 판매 종사자","C.V.","","","","","","","","","","","","*","*","*","*","*","*","*",
"계","D. 전기, 가스, 증기 및 수도사업","6. 농림어업 숙련? 종사자","취업자 (천명)","","","0","0","0","0","0","","","",".1","0","","0","0","","","",
"계","D. 전기, 가스, 증기 및 수도사업","6. 농림어업 숙련? 종사자","C.V.","","","","","","","","","","","","*","","*","*","","","",
"계","D. 전기, 가스, 증기 및 수도사업","7. 기능원 및 관련 기능 종사자","취업자 (천명)","","9.8","9.2","8.1","10.7","10.1","11.3","11.3","9","10.2","10.8","11","11.8","10.9","10.2","9.7","12.1","9.7",
"계","D. 전기, 가스, 증기 및 수도사업","8. 장치,기계조작 및 조립종사자","취업자 (천명)","","9.9","10.6","11.6","12.6","15","13.8","11.2","12.1","13.4","15","16.7","14.6","15.8","14.4","14.1","14.7","13.7",
"계","D. 전기, 가스, 증기 및 수도사업","9. 단순노무 종사자","취업자 (천명)","","6.9","4.6","4.5","5.3","6.7","7.9","6.3","6.2","5.7","4.9","5","4","4.9","6","5.8","7.1","6.6",
"계","E. 하수 · 폐기물 처리, 원료재생 및 환경복원업","계","취업자 (천명)","","84.8","102.3","106.3","105.3","105.8","104.6","113.8","115.4","117.1","112.9","123.8","139.2","128.1","140","149.1","156.2","168.2",
"계","E. 하수 · 폐기물 처리, 원료재생 및 환경복원업","1. 관리자","취업자 (천명)","","1.6","3.3","3.1","3.4","2.6","2.5","3.3","3.2","1.8","2.3","3.4","5","4.1","3.7","3.1","3","1.6",
"계","E. 하수 · 폐기물 처리, 원료재생 및 환경복원업","1. 관리자","C.V.","","","","","","","","","","","","*","*","*","*","*","*","*",
"계","E. 하수 · 폐기물 처리, 원료재생 및 환경복원업","2. 전문가 및 관련 종사자","취업자 (천명)","","8.7","10.2","9.4","8.7","7.5","6.3","9.4","11.1","11","9","7.3","7.9","6.3","7.3","5.4","5.7","8.2",
"계","E. 하수 · 폐기물 처리, 원료재생 및 환경복원업","3. 사무 종사자","취업자 (천명)","","19.7","22.4","23","25.1","27.6","25.8","26.3","30","32.1","29.6","30.9","33.6","33.2","33.1","33.2","35.6","41.1",
"계","E. 하수 · 폐기물 처리, 원료재생 및 환경복원업","4. 서비스 종사자","취업자 (천명)","","1.1","1.2",".9",".7",".8","1.3","1","1.1","1",".5",".9",".7",".9","1.1","1.2","1.3","1.7",
"계","E. 하수 · 폐기물 처리, 원료재생 및 환경복원업","4. 서비스 종사자","C.V.","","","","","","","","","","","","*","*","*","*","*","*","*",
"계","E. 하수 · 폐기물 처리, 원료재생 및 환경복원업","5. 판매 종사자","취업자 (천명)","",".3",".7",".7",".6","1",".9","2.1","1.3","1.2","1.7","1.5","1.3","1.1",".5","1.5","1.5",".6",
"계","E. 하수 · 폐기물 처리, 원료재생 및 환경복원업","5. 판매 종사자","C.V.","","","","","","","","","","","","*","*","*","*","*","*","*",
"계","E. 하수 · 폐기물 처리, 원료재생 및 환경복원업","6. 농림어업 숙련? 종사자","취업자 (천명)","",".3","","","","","","","","","",".3",".7",".4",".4",".3",".3",".4",
"계","E. 하수 · 폐기물 처리, 원료재생 및 환경복원업","6. 농림어업 숙련? 종사자","C.V.","","","","","","","","","","","","*","*","*","*","*","*","*",
"계","E. 하수 · 폐기물 처리, 원료재생 및 환경복원업","7. 기능원 및 관련 기능 종사자","취업자 (천명)","","3.2","3","4.6","4.6","4.3","5","5.2","2.8","3.2","4.3","4.4","3.5","4","4.9","7.1","6.5","7.1",
"계","E. 하수 · 폐기물 처리, 원료재생 및 환경복원업","8. 장치,기계조작 및 조립종사자","취업자 (천명)","","34.2","41.2","43.8","45.3","41.3","44.1","47.4","48.9","47.5","42.9","46.4","51.8","46.7","53","61.4","60.2","65.3",
"계","E. 하수 · 폐기물 처리, 원료재생 및 환경복원업","9. 단순노무 종사자","취업자 (천명)","","15.7","20.3","20.7","16.9","20.8","18.6","19.2","16.9","19.4","22.7","28.7","34.7","31.4","36","35.9","42","42.2",
"계","F. 건설업","계","취업자 (천명)","","1801.8","1833.7","1808.7","1884.6","1869.2","1854.2","1823","1907.8","1988.8","2029.6","2023.1","2090","1992.9","2038.7","1934.3","2075.3","2075.1",
"계","F. 건설업","1. 관리자","취업자 (천명)","","62.8","60.1","59.1","61.7","53.4","58.1","58","42.6","44.5","43.3","53.2","61","74","65.1","58.5","61.3","67.6",
"계","F. 건설업","2. 전문가 및 관련 종사자","취업자 (천명)","","163.2","162.3","169.4","156.8","145.2","153.8","158","173.7","185.6","174","175.8","158.3","162.8","177.9","172.7","182","182.5",
"계","F. 건설업","3. 사무 종사자","취업자 (천명)","","230.3","240.9","253.5","249.4","250.2","252.3","254.8","258.2","277.2","265.2","273.4","273.8","265.7","274","277.1","276.9","285.8",
"계","F. 건설업","4. 서비스 종사자","취업자 (천명)","",".6",".5",".7","1.7","1.3","1.1","1.8","1.5","1.5","1.3","1.3","1.8","1.1","1.6","1.2","1.7","1.5",
"계","F. 건설업","4. 서비스 종사자","C.V.","","","","","","","","","","","","*","*","*","*","*","*","*",
"계","F. 건설업","5. 판매 종사자","취업자 (천명)","","18.3","16.9","14.3","15.3","16.2","16.2","18","14.9","17.9","19.4","21.2","18.7","18.4","21","19.1","20.6","17.1",
"계","F. 건설업","6. 농림어업 숙련? 종사자","취업자 (천명)","","7","4.9","5.1","5.1","2.4","2.2","3.4","3.4","3.5","3.4","4","2.4","3.8","3.3","4.3","2.7","2.3",
"계","F. 건설업","6. 농림어업 숙련? 종사자","C.V.","","","","","","","","","","","","","*","*","*","*","*","*",
"계","F. 건설업","7. 기능원 및 관련 기능 종사자","취업자 (천명)","","808.2","842.3","831.8","892.9","876.6","864.8","855.2","895.9","925.4","935.8","941","997.3","955.8","968.7","891.6","981.3","964.8",
"계","F. 건설업","8. 장치,기계조작 및 조립종사자","취업자 (천명)","","171.9","168.2","183","175","180.3","190.1","185.3","181.4","190","184.3","180.9","183.4","173.3","175.5","180","183.6","180.8",
"계","F. 건설업","9. 단순노무 종사자","취업자 (천명)","","339.4","337.6","291.8","326.6","343.6","315.6","288.5","336.1","343","402.8","372.4","393.3","338.2","351.6","329.8","365.1","372.7",
"계","G. 도매 및 소매업","계","취업자 (천명)","","3613.3","3723.5","3805.6","3856.4","3811","3753.7","3719.2","3754.4","3795.4","3798.9","3734.5","3699.4","3658.3","3632.4","3535.6","3444.6","3353.3",
"계","G. 도매 및 소매업","1. 관리자","취업자 (천명)","","33.5","33.9","31.4","30.1","23.7","29","21.7","18.7","23.7","21","26.2","28","28","30.1","34.5","29.3","30",
"계","G. 도매 및 소매업","2. 전문가 및 관련 종사자","취업자 (천명)","","229.2","245.6","244.4","245.4","235.8","228.7","226.2","239.9","240.3","276.6","260.4","245.6","224.1","236.9","233.8","222.4","208.7",
"계","G. 도매 및 소매업","3. 사무 종사자","취업자 (천명)","","545.4","583.2","602.6","615.5","635.5","611.4","619.4","628.6","647.8","634.1","643.7","642.1","639","646","622.7","624.4","603.7",
"계","G. 도매 및 소매업","4. 서비스 종사자","취업자 (천명)","","16","11.9","11","12.7","11.5","19.2","12.5","17.7","16","18.4","14.2","14.4","15.1","16.2","13.4","11.1","8.6",
"계","G. 도매 및 소매업","5. 판매 종사자","취업자 (천명)","","2237.2","2294.8","2342.4","2361.7","2300.2","2269.4","2244.9","2263.9","2270.5","2245.3","2204.7","2202.6","2191","2144.5","2072.7","2008.6","1972",
"계","G. 도매 및 소매업","6. 농림어업 숙련? 종사자","취업자 (천명)","",".4",".5",".4",".5",".3",".3",".1",".3",".2",".9",".9",".8",".5",".4",".5",".1",".5",
"계","G. 도매 및 소매업","6. 농림어업 숙련? 종사자","C.V.","","","","","","","","","","","","*","*","*","*","*","*","*",
"계","G. 도매 및 소매업","7. 기능원 및 관련 기능 종사자","취업자 (천명)","","86.3","96.2","96.8","98.1","94.3","111.1","112.5","108.8","111.8","106","106.1","105.6","108.3","105.2","105","104.4","99.9",
"계","G. 도매 및 소매업","8. 장치,기계조작 및 조립종사자","취업자 (천명)","","90.2","82.7","85.1","93.5","99.7","99.4","100.6","84.9","85.9","95.9","106.2","81.4","78.4","83.6","75.4","71.6","69.3",
"계","G. 도매 및 소매업","9. 단순노무 종사자","취업자 (천명)","","375.1","374.6","391.5","398.9","410","385.3","381.4","391.5","399.2","400.8","372","378.9","373.7","369.6","377.6","372.7","360.4",
"계","H. 운수업","계","취업자 (천명)","","1431.8","1424.4","1432.6","1417.5","1435.2","1428.6","1439","1414.3","1409.3","1406.6","1409.1","1412","1423.9","1440.4","1457.4","1468.1","1564",
"계","H. 운수업","1. 관리자","취업자 (천명)","","16.1","14.6","12.1","11.8","12.5","11.3","11.9","11.7","8.7","11.9","11.7","13.5","10.2","10.8","11.2","9.9","10",
"계","H. 운수업","2. 전문가 및 관련 종사자","취업자 (천명)","","29.7","29.9","30.7","29.8","25.7","30.3","31.4","29.2","26.7","27.9","32.6","33.1","33.1","32.3","31.6","36.2","39.2",
"계","H. 운수업","3. 사무 종사자","취업자 (천명)","","203.5","206.7","199","215.3","213.7","213.4","220.9","204.6","216.8","216.1","218.5","227","233.4","238.5","236.4","236.6","245",
"계","H. 운수업","4. 서비스 종사자","취업자 (천명)","","19.4","21.6","22.2","21.6","23","20.6","20.7","19.2","22.2","22","24.5","21.5","25.7","25","28.3","25.5","25.7",
"계","H. 운수업","5. 판매 종사자","취업자 (천명)","","16.2","17.6","17.4","14.9","16.6","14","14.7","14.6","15.6","13.1","15.1","14.1","17.1","18.2","19.3","15.9","16.8",
"계","H. 운수업","6. 농림어업 숙련? 종사자","취업자 (천명)","",".3",".4",".3",".3",".3",".5","","","",".1",".1",".1",".1","0","0","0","0",
"계","H. 운수업","6. 농림어업 숙련? 종사자","C.V.","","","","","","","","","","","","*","*","*","*","*","*","*",
"계","H. 운수업","7. 기능원 및 관련 기능 종사자","취업자 (천명)","","39.1","40.3","40","34.2","42.7","42.3","43.3","39","42.9","36","35.7","40.6","44.6","47.2","46.5","46","48",
"계","H. 운수업","8. 장치,기계조작 및 조립종사자","취업자 (천명)","","919.2","902.8","914.7","885.8","892","886.8","885.1","881.2","860.7","858.3","847.9","817.8","819","817.3","797.9","777.6","818.4",
"계","H. 운수업","9. 단순노무 종사자","취업자 (천명)","","188.3","190.5","196.1","203.8","208.7","209.5","210.9","214.7","215.5","221.3","222.9","244.3","240.6","251","286.2","320.4","360.9",
"계","I. 숙박 및 음식점업","계","취업자 (천명)","","1947.2","2012.8","2076","2166.3","2126","2209.7","2245.9","2314.2","2274.2","2286","2246.7","2189.2","2288.4","2301.3","2076.9","2074.6","2138.3",
"계","I. 숙박 및 음식점업","1. 관리자","취업자 (천명)","","19.2","21.7","16","15.6","10","15.5","16.2","16.3","14.4","7.7","9.9","14.5","14.1","13.3","14.2","13.8","12.3",
"계","I. 숙박 및 음식점업","2. 전문가 및 관련 종사자","취업자 (천명)","","16.6","16.2","14.5","14","16.3","17.5","19.7","23","16","17.6","15.6","14.7","16.1","15.4","13.9","13.1","15.2",
"계","I. 숙박 및 음식점업","3. 사무 종사자","취업자 (천명)","","36.5","35.8","38.9","36.4","40.2","44.3","47.3","47.4","44.2","46.4","40.8","40.1","37","38.9","35.6","34.8","34.8",
"계","I. 숙박 및 음식점업","4. 서비스 종사자","취업자 (천명)","","1304.5","1355","1412.9","1451.9","1394","1465.2","1449.6","1531.9","1498.6","1498.2","1509","1472.8","1521.6","1541.4","1401.2","1403.8","1441.8",
"계","I. 숙박 및 음식점업","5. 판매 종사자","취업자 (천명)","","174","181.8","192.7","211.1","203","206","224.8","219.2","223","235.3","218.6","212.7","230.9","242","217.5","203.1","213.2",
"계","I. 숙박 및 음식점업","6. 농림어업 숙련? 종사자","취업자 (천명)","",".1",".1",".1",".2",".2",".2",".1",".2",".6",".5",".2",".4",".4",".5",".5",".3",".3",
"계","I. 숙박 및 음식점업","6. 농림어업 숙련? 종사자","C.V.","","","","","","","","","","","","*","*","*","*","*","*","*",
"계","I. 숙박 및 음식점업","7. 기능원 및 관련 기능 종사자","취업자 (천명)","","22.6","23.9","25.1","23.8","27.6","28.5","30.1","27.2","29.7","38.6","39.1","37.1","37.9","41","41.3","39.3","42",
"계","I. 숙박 및 음식점업","8. 장치,기계조작 및 조립종사자","취업자 (천명)","","6.6","4.8","6.4","5.7","6.2","4.4","7.1","6","5.6","6.6","7.3","6","7","6.8","5.4","5.8","5.8",
"계","I. 숙박 및 음식점업","9. 단순노무 종사자","취업자 (천명)","","366.9","373.5","369.5","407.5","428.6","428.1","451","443.1","442.1","435","406.2","391","423.3","402","347.4","360.6","373",
"계","J. 출판, 영상, 방송통신 및 정보서비스업","계","취업자 (천명)","","703.5","682.5","737.8","706.5","773","781.4","754.5","790.3","784.8","781.9","814.8","863.1","858.8","859.4","851.9","826.1","892.8",
"계","J. 출판, 영상, 방송통신 및 정보서비스업","1. 관리자","취업자 (천명)","","20.1","16.1","16.1","16.5","13.3","15.7","15.3","14.3","10.9","13.9","15.4","15.9","17.6","17.3","15.3","20","20.8",
"계","J. 출판, 영상, 방송통신 및 정보서비스업","2. 전문가 및 관련 종사자","취업자 (천명)","","419.5","417","453","429.7","474.7","472.8","465.3","484.4","488.6","499.4","513.7","534.8","543.2","542.6","549.4","547.8","593.5",
"계","J. 출판, 영상, 방송통신 및 정보서비스업","3. 사무 종사자","취업자 (천명)","","156.6","156.9","167.7","156.5","168.8","179.8","171.4","182.6","179.2","168.2","185.7","203.7","192.2","191.9","184","161.7","182.8",
"계","J. 출판, 영상, 방송통신 및 정보서비스업","4. 서비스 종사자","취업자 (천명)","","3.2","4.1","2.4","2","3.4","2.4","2.6","2.4","2.7","2.7","3.7","4.1","3.9","2.2","2.2","2.2","1.3",
"계","J. 출판, 영상, 방송통신 및 정보서비스업","4. 서비스 종사자","C.V.","","","","","","","","","","","","*","","","*","*","*","*",
"계","J. 출판, 영상, 방송통신 및 정보서비스업","5. 판매 종사자","취업자 (천명)","","27.8","24.3","26.2","33.5","28.6","33.7","29.2","31.7","29.4","25.5","25.1","29.9","23.1","25.2","20.6","19.6","16",
"계","J. 출판, 영상, 방송통신 및 정보서비스업","6. 농림어업 숙련? 종사자","취업자 (천명)","","","","","","","","",".3","","","","","","","","",".1",
"계","J. 출판, 영상, 방송통신 및 정보서비스업","6. 농림어업 숙련? 종사자","C.V.","","","","","","","","","","","","","","","","","","*",
"계","J. 출판, 영상, 방송통신 및 정보서비스업","7. 기능원 및 관련 기능 종사자","취업자 (천명)","","37.8","30.8","35.9","32.6","36.7","35.6","30.4","32.3","33.1","31.8","26.9","31.2","34.8","32.7","30.7","27.7","29.6",
"계","J. 출판, 영상, 방송통신 및 정보서비스업","8. 장치,기계조작 및 조립종사자","취업자 (천명)","","8.5","5.3","5.9","6.4","9.3","8.2","7.1","8.4","6.8","6.2","6.5","5.3","6.6","6.6","6.8","5.9","4.6",
"계","J. 출판, 영상, 방송통신 및 정보서비스업","9. 단순노무 종사자","취업자 (천명)","","30","27.9","30.7","29.3","38.2","33.2","33.3","34","34","34.2","37.7","38.2","37.4","41.1","43","41.1","44.1",
"계","K. 금융 및 보험업","계","취업자 (천명)","","876.4","875.6","867.7","830.7","793.6","797.1","785.4","813.9","778.7","805","839.4","853.7","793.5","800","782.9","777","809.9",
"계","K. 금융 및 보험업","1. 관리자","취업자 (천명)","","55.9","56.4","56.1","54.3","55.1","49.8","45.9","47.6","46.7","51.7","53","56","53.3","49.4","47.7","49.1","54.2",
"계","K. 금융 및 보험업","2. 전문가 및 관련 종사자","취업자 (천명)","","71.4","72.4","70.8","61.2","55.7","58.9","61.5","53.1","55.3","62","68.9","70.6","65.5","69.7","67.5","68.5","69.8",
"계","K. 금융 및 보험업","3. 사무 종사자","취업자 (천명)","","456.7","445.9","426.8","403.3","391.8","374.6","381.2","407.9","399.8","403.7","438.3","419.3","384.2","393.7","390.2","375.7","387.1",
"계","K. 금융 및 보험업","4. 서비스 종사자","취업자 (천명)","","5.2","5.9","6.3","8.2","5.8","6.5","5.1","5.8","5.5","4.5","3","4.5","4.4","4.6","3.7","3.5","5.2",
"계","K. 금융 및 보험업","5. 판매 종사자","취업자 (천명)","","275.6","283.1","295.5","293.6","272.1","295.5","279.7","286.6","259","271.2","265.4","293","276.2","272.5","265.6","268.3","283.4",
"계","K. 금융 및 보험업","6. 농림어업 숙련? 종사자","취업자 (천명)","",".5",".4",".1",".1","",".1",".3","0","",".1",".5",".8","0",".2",".2",".1",".1",
