시도명,시군구명,새일센터명,원소속기관명,전화번호,우편번호,주소
경남,진주시,진주새일센터,진주시 능력개발원,055-749-6887,52800,경상남도 진주시 동진로 271 (상대동) 진주시 능력개발원
경남,창원시,경남광역새일센터,경남광역여성새로일하기센터,055-286-1671,51430,경상남도 창원시 의창구 용지로 240 경상남도여성능력개발센터 1층(용호동) 경상남도여성능력개발센터
경남,창원시,경남새일센터(산단형),경남여성새로일하기센터,055-286-1675,51430,경상남도 창원시 의창구 용지로 240 경남여성능력개발센터 1층(용호동) 
경남,창원시,마산새일센터,마산여성인력개발센터,055-232-5265,51245,경상남도 창원시 마산 회원구 내서읍 광려천서로 57(광림빌딩 2층) 
경남,창원시,창원새일센터,창원여성인력개발센터,055-283-3221,51491,경상남도 창원시 성산구 대정로 20번길 11(2층)  
경북,경산시,경산새일센터,경산시,053-667-6880,38622,경상북도 경산시 중앙로 85 3층 고용복지플러스센터 내
경북,경주시,경주새일센터,경주여성새로일하기센터,054-744-1901,38111,경상북도 경주시 알천북로 275번지 
경북,구미시,구미새일센터,구미여성인력개발센터,054-456-9494,39234,"경상북도 구미시 송원서로8길 53,  (원평동) "
경북,김천시,김천새일센터,김천시 평생교육원,054-430-1179,39542,"경상북도 김천시 공단2길 30-22,  (대광동) "
경북,상주시,상주새일센터,상주지역자활센터,054-536-6581,37213,경상북도 상주시 중앙로 146 (남성동 50) 
경북,영주시,영주새일센터,경북전문대학교 총장,054-634-3225,36133,경상북도 영주시 대학로 77-0 (휴천동)
경북,영천시,영천새일센터,영천시 평생학습관,054-339-7759,38847,경상북도 영천시 최무선로 243 (성내동) 교육문화센터
경북,예천군,경북광역새일센터,(재)경북여성정책개발원,054-650-7990,36849,경상북도 예천군 호명면 도청대로 53  A동 3층 경북여성가족플라자
경북,칠곡군,칠곡새일센터,칠곡여성인력개발센터,054-973-7016,39909,경상북도 칠곡군 왜관읍 평장2길 20 (왜관리) 
경북,포항시,포항새일센터,포항YWCA여성인력개발센터,054-278-4410,37829,"경상북도 포항시 남구 포스코대로 358, 일선빌딩 3층 (대도동) "
광주,광산구,광주광산구새일센터(산단형),광주광산여성새로일하기센터,000-1577-2919,62308,광주광역시 광산구 임방울대로 328  (수완동)
광주,남구,송원대새일센터,송원대학교 부설 평생교육원,062-360-5903,61756,광주광역시 남구 송암로 73 
광주,동구,(주)국제직업전문학교,국제직업전문학교,062-266-6617,61486,광주광역시 동구 서석동 25-7  
광주,동구,광주새일센터,광주여성인력개발센터,062-511-0001,61473,광주광역시 동구 제봉로 221-11(대인동) 
광주,북구,광주북구새일센터,광주북구여성인력개발센터,062-266-8500,61143,광주광역시 북구 중가로 43(유동 107-5) 
광주,서구,광주서구새일센터,광주광역시 일가정양립지원본부,062-613-7985,61956,광주광역시 서구 상무자유로 73 (치평동)  
대구,남구,대구남부새일센터,대구여성인력개발센터,053-472-2280,42428,"대구광역시 남구 중앙대로 222,  (대명동) ,"
대구,달서구,신달서새일센터,달서가족문화센터,053-219-2019,42760,대구 달서구 조암남로 137
대구,북구,대구새일센터,대구광역시 여성회관,053-803-7212,41557,"대구광역시 북구 팔달로1길 26 ,"
대구,서구,대구달서새일센터,달구벌여성인력개발센터,053-285-1331,41856,"대구광역시 서구 달구벌대로337길 9,  (내당동 458-25) ."
대구,수성구,수성새일센터,대구수성 여성클럽,053-766-0312,42162,대구광역시 수성구 청수로 64  수성구새마을회관 2층(상동) 
대전,서구,대전광역새일센터,배재대학교 산학협력단,042-520-5337,35345,대전광역시 서구 배재로 155-40 배재대학교 우남관 105호
대전,서구,대전새일센터,대전여성인력개발센터,042-524-4181,35306,"대전광역시 서구 계룡로 636, 도산회관5층 (용문동) ,"
대전,유성구,대전배재대ICT융합새일센터(경력개발형),배재대학교 산학협력단,042-716-2150,34044,대전광역시 유성구 테크노1로 11-3 (관평동) 대덕캠퍼스 c203호
대전,유성구,충남대새일센터,충남대학교,042-821-8965,34134,대전광역시 유성구 대학로 99충남대학교 한누리회관 503호 
부산,강서구,부산강서새일센터,강서구여성새로일하기센터,051-970-2354,46702,부산광역시 강서구 낙동북로 477 (대저1동) 강서구청
부산,기장군,기장새일센터,부산광역시 기장군,051-709-2713,46081,부산광역시 기장군 기장읍 기장대로 560 0
부산,남구,부산새일센터,부산광역시여성회관,051-610-2031,48512,부산광역시 남구 수영로 356 부산광역시 여성회관(대연3동) 
부산,동구,동구새일센터,동구여성인력개발센터,051-715-9882,48792,부산광역시 동구 중앙대로 319(초량동) YMCA 3층 
부산,동래구,동래새일센터,부산동래여성인력개발센터,051-501-8945,47825,"부산광역시 동래구 충렬대로126번길 5,  (온천동) "
부산,부산진구,부경직업전문학교,부경직업전문학교,051-808-9007,47352,부산광역시 부산진구 중앙대로 629-7 삼영빌딩 2층 (범천동)
부산,부산진구,부산진새일센터(경력개발형),부산진여성인력개발센터,051-807-7945,47257,부산광역시 부산진구 부전로94 영동프라자(부전동) 
부산,북구,한국폴리텍대학부산캠퍼스,한국폴리텍대학부산캠퍼스,051-330-7861,46550,부산광역시 북구 만덕대로155번길 99  (덕천동)
부산,사상구,부산광역새일센터,부산광역시 여성문화회관,051-320-8334,47054,부산광역시 사상구  학감대로 95(학장동)여성문화회관 
부산,사상구,사상새일센터,사상여성인력개발센터,051-326-7600,46968,부산광역시 사상구 사상로 196 한빛빌딩 5-6층
부산,사하구,다산직업전문학교,다산직업전문학교,051-202-6543,49326,부산광역시 사하구 낙동대로 432 (주)진타워3층 (당리동)
부산,사하구,사하새일센터,사하여성인력개발센터,051-201-2214,49400,"부산광역시 사하구 낙동대로 319 괴정동,사하전화국"
부산,서구,부산서구새일센터,부산서구 여성센터,051-240-3560,49252,부산광역시 서구 구덕로 127 (토성동5가) 서구가족센터 5층
부산,해운대구,해운대새일센터,해운대여성인력개발센터,051-702-9196,48111,"부산광역시 해운대구 해운대로 575, 국제빌딩 6층 (우동) "
서울,강남구,4세대아카데미,4세대아카데미,02-508-6604,06205,서울 강남구 대치4동  922-23 5층
서울,강남구,강남새일센터,서울시 장애여성인력개발센터,02-6929-0002,06171,서울특별시 강남구 봉은사로 114길 43 신관 1층 
서울,강남구,서울과학기술새일센터(경력개발형),한국여성과학기술인육성재단,02-6411-1083,06130,서울특별시 강남구 테헤란로7길 22 (역삼동) 한국과학기술회관
서울,강동구,강동새일센터,강동여성인력개발센터,02-475-0108,05352,"서울특별시 강동구 양재대로 1458 (길동) 길동빌딩 5층, 6층 (길동)"
서울,강북구,강북새일센터,강북여성인력개발센터,02-980-2377,01117,"서울특별시 강북구 덕릉로 108, 현웅빌딩 3층 (미아동) "
서울,강서구,강서새일센터,강서여성인력개발센터,02-2692-4549,07662,"서울특별시 강서구 까치산로 134 화곡빌딩 2,5-7층 (화곡동) "
서울,관악구,관악새일센터,관악여성인력개발센터,070-4048-7022,08831,"서울특별시 관악구 쑥고개로 75, 광장빌딩1-5층 (청룡동 1564-5) "
서울,광진구,동부새일센터,서울동부여성새로일하기센터,02-460-2300,05079,서울특별시 광진구 아차산로30길 36 (자양동) 서울특별시 동부여성발전센터
서울,구로구,간호새일센터(경력개발형),대한간호협회 서울시간호사회,02-859-6347,08296,"서울특별시 구로구 공원로6가길 26, 302호  (구로동) "
서울,구로구,구로새일센터,구로여성인력개발센터,02-867-8833,08300,"서울특별시 구로구 공원로 63, 희훈타워빌 2층 (구로동) "
서울,금천구,남부새일센터,서울특별시남부여성발전센터,02-802-0185,08563,서울특별시 금천구 독산로 50길 23 
서울,노원구,노원새일센터,노원여성인력개발센터,02-951-0187,01836,"서울특별시 노원구 공릉로 187, 건설빌딩 5층 (공릉동) ."
서울,노원구,북부새일센터,북부여성발전센터,02-3399-7606,01771,서울특별시 노원구 동일로 207길 50(중계동) 
서울,노원구,은곡직업전문학교,은곡직업전문학교,02-952-1163,01772,서울특별시 노원구 동일로 1351 2층 (상계동)
서울,도봉구,도봉새일센터,도봉여성센터,02-956-9620,01359,서울특별시 도봉구 방학로 12길 28 
서울,동대문구,동대문새일센터,동대문여성인력개발센터,070-4048-6725,02584,"서울특별시 동대문구 왕산로 60-1, 포은회관6,7층 (용두동) "
서울,동작구,동작새일센터,동작여성인력개발센터,02-525-1121,07013,"서울특별시 동작구 사당로 299,  (사당동) "
서울,마포구,서울광역새일센터,서울특별시 여성능력개발원,02-590-1940,04156,서울특별시 마포구 마포대로 89  포스트타워7층
서울,마포구,중부새일센터,중부여성발전센터,02-719-6307,04166,"서울특별시 마포구 토정로35길 17,  (용강동)"
서울,서대문구,서대문새일센터,서대문여성인력개발센터,02-332-8661,03780,"서울특별시 서대문구 신촌역로 10, 혜우빌딩 4층 (대현동) "
서울,서초구,서초새일센터(경력개발형),서초여성인력개발센터,070-4048-6232,06736,"서울특별시 서초구 강남대로 216 (양재동) 2층 3호, 3층 (양재동 양재프라자)"
서울,성동구,성동새일센터,성동여성인력개발센터,02-3395-1500,04709,서울특별시 성동구 무학로 2길 54 
서울,성북구,성북새일센터,성북여성새로일하기센터,070-4088-4130,02861,서울특별시 성북구 보문로 183 (삼선동4가) 논현빌딩7층
서울,성북구,정릉새일센터,정릉종합사회복지관,070-4693-4755,02812,서울특별시 성북구 솔샘로5길 92 
서울,송파구,송파새일센터,송파여성인력개발센터,02-430-6070,05718,서울특별시 송파구 중대로 9길 34 (가락동 83-7) 대호빌딩 2층 
서울,양천구,서부새일센터,서부여성발전센터,02-2607-5638,07920,"서울특별시 양천구 남부순환로 371,  (신월동) 남부순환로 371"
서울,영등포구,영등포새일센터,영등포여성인력개발센터,02-858-4823,07251,"서울특별시 영등포구 영중로 61, 극동빌딩 4,5층 (영등포동6가) "
서울,용산구,용산새일센터,용산여성인력개발센터,02-714-9763,04370,"서울특별시 용산구 청파로 139-21,  (신계동) ,"
서울,은평구,은평새일센터,은평여성인력개발센터,02-389-2115,03382,서울특별시 은평구 녹번로 76 (녹번동) 은평여성인력개발센터
서울,종로구,종로새일센터,종로여성인력개발센터,02-741-1326,03086,"서울특별시 종로구 대학로11길 23, 스타시티빌딩2-4 (명륜4가) "
서울,종로구,종로새일센터(지역산업맞춤형),종로여성인력개발센터,02-741-1326,03086,"서울특별시 종로구 대학로11길 23, 스타시티빌딩2-4 (명륜4가) "
서울,종로구,중앙새일지원센터,중앙새일지원센터,02-3486-1175,03171,서울특별시 종로구 세종대로 209-0 17층
서울,중구,중구새일센터,중구여성플라자,02-2234-3130,04586,서울특별시 중구 다산로 32길 5 
서울,중랑구,중랑새일센터,중랑여성인력개발센터,02-3409-1946,02087,"서울특별시 중랑구 망우로32길 20, 대림프라자 (상봉동) ."
세종,,세종새일센터,세종 YWCA,044-863-8219,30127,세종특별자치시  새롬로 14 (새롬동) 새롬종합복지센터 2층
울산,남구,울산새일센터,울산광역시여성인력개발센터,052-258-8063,49223,울산광역시 남구 정동로 20번길 24(삼산동) 20번길 24
울산,동구,울산동구여성새로일하기센터,울산광역시 동구,052-209-6971,44033,울산광역시 동구 명덕로 19 (서부동) 4층 울산동구여성새로일하기센터
울산,북구,울산북구새일센터,울산광역시북구청장,052-241-7688,44248,울산광역시 북구 산업로 1016-0 .
울산,중구,울산중부새일센터,울산광역시 여성회관,052-250-5200,44512,"울산광역시 중구 서원11길 77,  (복산동) "
인천,계양구,계양새일센터,계양구 여성회관,032-554-9368,21112,인천광역시 계양구 봉오대로 628번지 10(효성동) 
인천,남동구,인천 남동산단 새일센터,한국여성경제인협회인천지회,032-819-8800,21633,인천광역시 남동구 남동대로215번길 30 인천종합비즈니스센터 8층 (고잔동 636번지)
인천,남동구,인천남동새일센터,인천여성인력개발센터,032-469-1251,21543,인천광역시 남동구 구월로 311 (만수동 889번지)
인천,미추홀구,인천미추홀새일센터,인천미추홀여성새로일하기센터,032-881-6061,22186,인천광역시 미추홀구 아암대로 57 (용현동) 항마스타타워
인천,미추홀구,인천새일센터,인천광역시 여성복지관,032-440-6513,22144,인천광역시 미추홀구 경원대로864번길 24 (주안동) 인천여성복지관
인천,부평구,부평새일센터,재단법인 인천광역시 여성가족재단,032-517-1603,21338,"인천광역시 부평구 길주로 539,  (갈산동) "
인천,부평구,인천광역새일센터,(재)인천여성가족재단,032-517-9833,21338,인천광역시 부평구 길주로 539 
인천,서구,인천서구새일센터,인천서구여성인력개발센터,032-577-6092,22799,"인천광역시 서구 가정로 350, 주암프라자 2층 (가정동) "
인천,연수구,인천산단새일센터,인천산단여성새로일하기센터,032-440-8981,21965,인천광역시 연수구 앵고개로 183-0 (동춘동 920)
전남,광양시,광양새일센터,광양시청 여성일자리팀,061-797-1970,57777,전라남도 광양시 중마로 410 (마동) 커뮤니티센터8층
전남,나주시,나주새일센터,학교법인 해인학원,061-333-2060,58276,전라남도 나주시 영산포로 182-7 (이창동 147-1) 
전남,목포시,목포새일센터,목포여성인력개발센터,061-283-7535,58749,전라남도 목포시 통일대로 37번길 34-1(상동1004-5)  
전남,무안군,전남광역새일센터,재단법인 전남여성가족재단,061-260-7360,58564,전라남도 무안군 삼향면 남악리 어진누리길 30 전남여성플라자 전남여성플라자
전남,순천시,순천새일센터,순천여성인력개발센터,061-744-9706,57958,"전라남도 순천시 서문로 6,  (저전동) "
전남,여수시,여수새일센터,여수여성인력개발센터,061-641-0050,59677,전라남도 여수시 시청로 34-0 34번지 이레타운 4층
전남,영암군,영암새일센터,(재)전남인력개발원,061-463-9972,58454,전라남도 영암군 방아제로 74 영암근로자종합복지관
전남,장성군,장성새일센터,장성군,061-390-7635,57219,전라남도 장성군 장성읍 충무5길 24(영천리) 
전남,화순군,화순새일센터,화순여성새로일하기센터,061-379-3551,58111,전라남도 화순군 화순읍 대교로 11  (1층)
전북,군산시,군산새일센터,군산여성인력개발센터,063-468-0055,54138,"전라북도 군산시 백토로 119, 대주빌딩 2층 (나운동) "
전북,김제시,김제새일센터,김제시 여성회관,063-540-4114,54409,전라북도 김제시 성산길 138 
전북,남원시,남원새일센터,남원시 교육체육과,063-620-6840,55738,전라북도 남원시 요천로 1283(조산동) 
전북,완주군,완주새일센터(농어촌형),완주새일센터(농어촌형),063-262-1781,55316,전라북도 완주군 봉동읍 둔산3로 94  완주군근로자종합복지관3층
전북,익산시,익산새일센터(산단형),익산여성새로일하기센터(산단형),063-853-5626,54621,전라북도 익산시 인북로32길 32 (남중동) 익산시 여성회관 1층
전북,전주시,전북광역새일센터,전북여성교육문화센터,063-254-3683,54933,전라북도 전주시 덕진구 덕진동 1가 들사평로 38번지 
전북,전주시,전북새일센터,전북여성교육문화센터,063-254-3610,54933,전라북도 전주시 덕진구 들사평로 38번지(덕진동1가 1257-8) 
전북,전주시,전주새일센터,전주여성인력개발센터,063-232-2352,55106,"전라북도 전주시 완산구 장승배기로 213 (평화동1가) BYC빌딩 3층,4층"
전북,정읍시,정읍새일센터,정읍시 여성문화회관,063-539-5591,56207,"전라북도 정읍시 조곡천1길 7,  (연지동) "
제주,서귀포시,서귀포새일센터,서귀포YWCA,064-762-1400,63596,제주특별자치도 서귀포시 부두로3 서귀포YWCA
제주,서귀포시,한라새일센터(농어촌형),한라여성새로일하기센터,064-739-8920,63566,"제주특별자치도 서귀포시 신중로 50 (법환동) (KT빌딩 3층,법환동)"
제주,제주시,제주새일센터,제주여성인력개발센터,064-753-8090,63179,제주특별자치도 제주시 중앙로 165 제주상록회관4층(이도일동) 
충남,공주시,공주새일센터,공주대학교 평생교육원,041-850-6061,32560,충청남도 공주시 우금티로 753(옥룡동 326) 공주대학교 옥룡캠퍼스 평생교육원건물3층 320-1 
충남,논산시,논산새일센터,논산여성인력개발센터,041-736-6243,32979,"충청남도 논산시 중앙로398번길 29-9,  (취암동) "
충남,당진시,당진새일센터,당진시청 ,041-350-4051,31769,충청남도 당진시 당진중앙2로 53-11 (읍내동) 당진시일자리종합지원센터(2층)
충남,보령시,보령새일센터,보령여성인력개발센터,041-935-9663,33471,"충청남도 보령시 한내로 11, 영동빌딩 3-5층 (동대동) "
충남,부여군,부여새일센터(농어촌형),부여군청,041-830-2920,33116,충청남도 부여군 규암면 아름1로 64  2층
충남,서산시,서산새일센터,서산고용복지플러스센터(서산여성새로일하기센터),041-660-2707,32008,충청남도 서산시 호수공원1로 22 5층 서산고용복지플러스센터 
충남,서천군,서천새일센터(농어촌형),윤정복지재단,041-953-8432,33637,충청남도 서천군 서천읍 서문로 38  가족누리센터 2층
충남,아산시,아산새일센터,아산여성새로일하기센터,041-570-5536,31513,"충청남도 아산시 시장길 29, 202호"
충남,예산군,예산새일센터,공주대학교,041-330-1541,32436,충청남도 예산군 예산읍 대학로 54
충남,예산군,충남광역새일센터,(재)충청남도일자리진흥원,041-330-4954,32416,충청남도 예산군 삽교읍 예학로 10-22  7층
충남,천안시,천안새일센터,천안여성인력개발센터,041-576-3060,31188,충청남도 천안시 동남구 다가말2길 39 정일빌딩 (다가동)
충남,홍성군,홍성새일센터(농어촌형),홍성군,041-630-9541,32247,충청남도 홍성군 충서로1318번길 37-13 2층
충북,영동군,영동새일센터(농어촌형),영동군 여성회관,043-745-7713,29145,충청북도 영동군 영동읍 성안길 8  여성회관3층
충북,제천시,제천새일센터,제천시여성단체협의회,043-644-3905,27197,충청북도 제천시 숭의로 48(화산동) 
충북,청주시,청주IT새일센터(경력개발형),한국교원대학교 산학협력단,043-237-1414,28173,충청북도 청주시 흥덕구 강내면 태성탑연로 250 교육연구관 603호
충북,청주시,청주새일센터,충북여성인력개발센터,043-253-3400,28716,"충청북도 청주시 상당구 영운로 160-1, 백선빌딩 3층 (서운동) "
충북,청주시,충북광역새일센터,충북여성새로일하기지원본부,043-215-9195,28120,충청북도 청주시 청원구 오창읍 중심상업로 17  602호(오창프라자)
충북,청주시,충북새일센터(산단형),충북여성새로일하기센터,043-217-9195,28120,충청북도 청주시 청원구 오창읍 중심상업로 17  602호(오창프라자)
충북,충주시,다올직업기술학원,다올직업기술학원,043-856-1444,27356,충청북도 충주시 계명대로 213 2층 (연수동)
충북,충주시,충주새일센터,충주여성새로일하기센터,043-845-1991,27428,충청북도 충주시 국원대로 13 (문화동) 충주고용복지플러스센터
충북,충주시,한국폴리텍대학 충주캠퍼스,한국폴리텍대학 충주캠퍼스,043-850-4212,27438,충청북도 충주시 국원대로 548  (목행동)
