"행정구역별","연령·교육정도별","항목","단위","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년",
"전국","20-24세","경제활동인구","명","27772.695","32684.697","28428.603","27343.553","27248.868","26103.407","29056.868","24735.68","26613.263","14699.497","16856.276",
"전국","20-24세","취업자","명","27282.501","31344.013","27237.635","26071.468","25294.688","24400.951","25479.054","23411.88","23907.503","12317.032","15014.319",
"전국","20-24세","실업자","명","490.194","1340.684","1190.968","1272.085","1954.18","1702.456","3577.814","1323.794","2705.76","2382.465","1841.957",
"전국","20-24세","비경제활동인구","명","59064.338","49401.722","49937.097","46601.321","41159.052","44236.773","42373.907","40502.555","36872.674","28786.544","18908.022",
"전국","20-24세","비취업자(실업자+비경활)","명","59554.532","50742.406","51128.065","47873.406","43113.232","45939.229","45951.721","41826.349","39578.43","31169.009","20749.979",
"전국","20-24세","경력단절여성","명","26407.468","24210.91","25410.736","23162.301","18241.085","21233.669","20500.624","19082.462","16545.721","10599.447","6464.64",
"전국","20-24세","경제활동참가율","%","31.98255","39.81742","36.27684","36.97829","39.83291","37.11024","40.67836","37.91592","41.91993","33.80279","47.1",
"전국","20-24세","실업률","%","1.76502","4.10187","4.18933","4.65223","7.1716","6.52197","12.31314","5.35176","10.16696","16.2078","10.9",
"전국","20-24세","고용률","%","31.41805","38.18416","34.75709","35.25798","36.97626","34.68992","35.66958","35.88675","37.65795","28.32411","89.1",
"전국","20-24세","경력단절여성 비율 1","%","30.41038","29.49442","32.42584","31.32374","26.66517","30.18711","28.69999","29.25043","26.06203","24.37437","18.1",
"전국","20-24세","경력단절여성 비율 2","%","44.34166","47.71337","49.70017","48.3824","42.30971","46.22121","44.6134","45.62306","41.80489","34.00637","31.2",
"전국","25-29세","15-54세 기혼 여성","명","575570.886","524887.159","506854.478","454274.343","435445.867","409761.738","383558.344","379267.525","354987.399","309587.688","274458.22",
"전국","25-29세","경제활동인구","명","276427.379","248020.012","231617.025","227110.655","213511.371","210514.057","204388.753","206438.699","197494.888","161310.705","151089.349",
"전국","25-29세","취업자","명","265317.838","240960.326","223467.711","219807.382","204430.44","199733.558","197124.12","195319.226","186718.466","156242.451","142363.818",
"전국","25-29세","실업자","명","11109.541","7059.686","8149.314","7303.273","9080.931","10780.499","7264.633","11119.47","10776.422","5068.254","8725.531",
"전국","25-29세","비경제활동인구","명","299143.507","276867.147","275237.453","227163.688","221934.496","199247.681","179169.591","172828.826","157492.511","148276.983","123368.871",
"전국","25-29세","비취업자(실업자+비경활)","명","310253.048","283926.833","283386.767","234466.961","231015.427","210028.18","186434.224","183948.299","168268.93","153345.237","132094.402",
"전국","25-29세","경력단절여성","명","214654.39","197698.879","192292.957","166167.684","158101.941","139556.16","123207.658","119412.727","101249.883","86086.43","68882.342",
"전국","25-29세","경제활동참가율","%","48.02664","47.25206","45.69695","49.99416","49.03282","51.37475","53.28753","54.43089","55.63434","52.10501","55.1",
"전국","25-29세","실업률","%","4.01897","2.84642","3.51844","3.21573","4.25314","5.12104","3.55432","5.38633","5.45656","3.14192","5.8",
"전국","25-29세","고용률","%","46.09647","45.90707","44.08913","48.38648","46.94738","48.74383","51.39352","51.49906","52.59862","50.46791","94.2",
"전국","25-29세","경력단절여성 비율 1","%","37.29417","37.66502","37.93849","36.57871","36.30806","34.05788","32.12227","31.48509","28.52211","27.8068","25.1",
"전국","25-29세","경력단절여성 비율 2","%","69.18688","69.63022","67.85531","70.8704","68.43783","66.4464","66.0864","64.91646","60.17147","56.13897","52.1",
"전국","30-34세","15-54세 기혼 여성","명","1417104.77","1408765.997","1400027.326","1357366.563","1284955.563","1223850.326","1121920.249","1032293.379","979272.942","912937.345","865643.914",
"전국","30-34세","경제활동인구","명","668309.056","645630.246","673183.937","669555.416","648893.081","617414.286","599761.368","568564.264","551526.483","530948.493","497166.412",
"전국","30-34세","취업자","명","648383.681","636649.31","662112.961","652429.952","636397.299","603002.67","577910.705","549529.429","536028.949","516594.527","481744.182",
"전국","30-34세","실업자","명","19925.375","8980.936","11070.976","17125.464","12495.782","14411.616","21850.663","19034.835","15497.534","14353.966","15422.23",
"전국","30-34세","비경제활동인구","명","748795.714","763135.751","726843.389","687811.147","636062.482","606436.04","522158.881","463729.115","427746.459","381988.852","368477.502",
"전국","30-34세","비취업자(실업자+비경활)","명","768721.089","772116.687","737914.365","704936.611","648558.264","620847.656","544009.544","482763.95","443243.99","396342.818","383899.732",
"전국","30-34세","경력단절여성","명","558476.177","581768.736","547711.589","545922.003","497815.381","474843.803","403316.257","361336.572","319204.063","253307.779","234286.712",
"전국","30-34세","경제활동참가율","%","47.16017","45.82949","48.08363","49.32753","50.49926","50.44851","53.45847","55.07778","56.32","58.15826","57.4",
"전국","30-34세","실업률","%","2.98146","1.39103","1.64457","2.55774","1.92571","2.33419","3.64323","3.34788","2.80993","2.70346","3.1",
"전국","30-34세","고용률","%","45.75411","45.19198","47.29286","48.06586","49.52679","49.27095","51.51085","53.23384","54.73744","56.58598","96.9",
"전국","30-34세","경력단절여성 비율 1","%","39.40966","41.29634","39.12149","40.2192","38.74184","38.79917","35.94875","35.00328","32.59603","27.74646","27.1",
"전국","30-34세","경력단절여성 비율 2","%","72.65004","75.34726","74.22428","77.44271","76.75723","76.48314","74.13772","74.84746","72.01543","63.91128","61",
"전국","35-39세","15-54세 기혼 여성","명","1853452.594","1767284.37","1708217.255","1643459.062","1623790.784","1623755.372","1631127.169","1657385.951","1621529.753","1534885.167","1432715.155",
"전국","35-39세","경제활동인구","명","1000346.182","955870.489","908280.762","874031.717","835461.633","873274.656","903016.326","949842.542","940530.34","843785.317","790315.541",
"전국","35-39세","취업자","명","976877.988","935816.379","889454.933","844694.538","807426.55","853384.983","882432.659","933614.85","915468.863","830157.775","768323.329",
"전국","35-39세","실업자","명","23468.194","20054.11","18825.829","29337.179","28035.083","19889.673","20583.667","16227.688","25061.477","13627.542","21992.212",
"전국","35-39세","비경제활동인구","명","853106.412","811413.881","799936.493","769427.345","788329.151","750480.716","728110.843","707543.409","680999.413","691099.85","642399.614",
"전국","35-39세","비취업자(실업자+비경활)","명","876574.606","831467.991","818762.322","798764.524","816364.234","770370.389","748694.51","723771.097","706060.89","704727.392","664391.826",
"전국","35-39세","경력단절여성","명","536865.89","550099.563","544193.688","574140.774","593116.718","539486.145","529502.083","524957.987","486288.025","441345.059","420769.066",
"전국","35-39세","경제활동참가율","%","53.97204","54.08697","53.17127","53.18245","51.45131","53.78117","55.36149","57.30968","58.00266","54.97384","55.2",
"전국","35-39세","실업률","%","2.34601","2.09799","2.07269","3.35653","3.35564","2.2776","2.27943","1.70846","2.66461","1.61505","2.8",
"전국","35-39세","고용률","%","52.70585","52.95222","52.06919","51.39736","49.72479","52.55625","54.09956","56.3306","56.45711","54.08599","97.2",
"전국","35-39세","경력단절여성 비율 1","%","28.96572","31.12683","31.8574","34.9349","36.52667","33.22459","32.46234","31.67385","29.98946","28.75427","29.4",
"전국","35-39세","경력단절여성 비율 2","%","61.24589","66.16004","66.4654","71.8786","72.65344","70.02945","70.72338","72.53094","68.87338","62.62635","63.3",
"전국","40-44세","15-54세 기혼 여성","명","2048762.688","2077042.744","2077595.302","2042535.334","1987992.069","1920520.906","1827396.486","1766838.372","1708671.677","1692278.748","1692595.21",
"전국","40-44세","경제활동인구","명","1370161.58","1338328.087","1303995.726","1294756.365","1257904.537","1232741.198","1150338.682","1113055.721","1051314.306","1033766.167","1034603.904",
"전국","40-44세","취업자","명","1341048.306","1310422.878","1279179.162","1258979.094","1220626.313","1196097.219","1107764.436","1074840.319","1028927.722","1004497.923","1006593.02",
"전국","40-44세","실업자","명","29113.274","27905.209","24816.564","35777.271","37278.224","36643.979","42574.246","38215.402","22386.584","29268.244","28010.884",
"전국","40-44세","비경제활동인구","명","678601.108","738714.657","773599.576","747778.969","730087.532","687779.708","677057.804","653782.651","657357.371","658512.581","657991.306",
"전국","40-44세","비취업자(실업자+비경활)","명","707714.382","766619.866","798416.14","783556.24","767365.756","724423.687","719632.05","691998.053","679743.96","687780.825","686002.19",
"전국","40-44세","경력단절여성","명","289837.655","357955.071","370008.689","427223.294","412515.147","377378.429","380332.375","395628.603","388473.006","351121.402","356208.977",
"전국","40-44세","경제활동참가율","%","66.87752","64.43431","62.76466","63.38967","63.27513","64.18786","62.94959","62.99703","61.52816","61.08723","61.1",
"전국","40-44세","실업률","%","2.12481","2.08508","1.90312","2.76324","2.96352","2.97256","3.70102","3.43338","2.12939","2.83122","2.7",
"전국","40-44세","고용률","%","65.4565","63.0908","61.57018","61.63806","61.39996","62.27983","60.61982","60.83411","60.21799","59.35771","97.3",
"전국","40-44세","경력단절여성 비율 1","%","14.14696","17.23388","17.80947","20.91632","20.75034","19.6498","20.8128","22.3919","22.73538","20.74844","21",
"전국","40-44세","경력단절여성 비율 2","%","40.95404","46.69264","46.34284","54.52363","53.7573","52.09361","52.85095","57.17192","57.1499","51.05135","51.9",
"전국","45-49세","15-54세 기혼 여성","명","2011360.264","1992972.35","1972204.271","2039629.33","2071801.875","2096474.542","2111226.352","2111156.397","2066858.455","2015454.423","1928765.061",
"전국","45-49세","경제활동인구","명","1362786.398","1376775.487","1343749.992","1434165.527","1464858.4","1466740.856","1486189.096","1470299.952","1425796.426","1341328.756","1296745.201",
"전국","45-49세","취업자","명","1337553.452","1354162.553","1314129.393","1390010.923","1426519.49","1431379.22","1450748.219","1430406.13","1397553.931","1310491.172","1262336.359",
"전국","45-49세","실업자","명","25232.946","22612.934","29620.599","44154.604","38338.91","35361.636","35440.877","39893.818","28242.495","30837.584","34408.842",
"전국","45-49세","비경제활동인구","명","648573.866","616196.863","628454.279","605463.803","606943.475","629733.686","625037.256","640856.445","641062.029","674125.667","632019.86",
"전국","45-49세","비취업자(실업자+비경활)","명","673806.812","638809.797","658074.878","649618.407","645282.385","665095.322","660478.133","680750.263","669304.52","704963.251","666428.702",
"전국","45-49세","경력단절여성","명","170835.627","165779.902","173435.895","229978.985","217142.993","225503.015","225977.998","264695.377","245052.609","229079.461","223109.705",
"전국","45-49세","경제활동참가율","%","67.75447","69.08151","68.13442","70.31501","70.70456","69.96225","70.39459","69.64429","68.98375","66.55218","67.2",
"전국","45-49세","실업률","%","1.85157","1.64246","2.20432","3.07877","2.61724","2.4109","2.38468","2.71331","1.98082","2.29903","2.7",
"전국","45-49세","고용률","%","66.49994","67.94688","66.63252","68.15017","68.85405","68.27554","68.7159","67.75463","67.6173","65.02212","97.3",
"전국","45-49세","경력단절여성 비율 1","%","8.49354","8.31822","8.79401","11.27553","10.48088","10.7563","10.70364","12.53793","11.85628","11.36614","11.6",
"전국","45-49세","경력단절여성 비율 2","%","25.3538","25.95137","26.35504","35.40217","33.65085","33.90537","34.2143","38.88289","36.61302","32.49523","33.5",
"전국","50-54세","15-54세 기혼 여성","명","2036836.808","2084028.645","2121888.023","2118842.846","2087056.29","2028817.324","2008923.188","1990612.276","2048315.541","2068372.505","2091609.592",
"전국","50-54세","경제활동인구","명","1311333.844","1328187.086","1370945.975","1409351.62","1410965.208","1357822.282","1368976.289","1371946.01","1429356.772","1383182.505","1442494.766",
"전국","50-54세","취업자","명","1290735.618","1308378.482","1348262.285","1383679.777","1376520.11","1340452.934","1342833.766","1340369.68","1388913.564","1327126.073","1405776.943",
"전국","50-54세","실업자","명","20598.226","19808.604","22683.69","25671.843","34445.098","17369.348","26142.523","31576.33","40443.208","56056.432","36717.823",
"전국","50-54세","비경제활동인구","명","725502.964","755841.559","750942.048","709491.226","676091.082","670995.042","639946.899","618666.262","618958.769","685190","649114.826",
"전국","50-54세","비취업자(실업자+비경활)","명","746101.19","775650.163","773625.738","735163.069","710536.18","688364.39","666089.422","650242.596","659401.98","741246.432","685832.649",
"전국","50-54세","경력단절여성","명","127974.02","133779.854","126476.772","196535.319","176218.115","145712.758","147892.424","161146.07","141565.657","133946.947","138299.54",
"전국","50-54세","경제활동참가율","%","64.3809","63.73171","64.60972","66.51516","67.60552","66.92679","68.14478","68.92081","69.78206","66.87299","69",
"전국","50-54세","실업률","%","1.57078","1.4914","1.6546","1.82154","2.44124","1.27921","1.90964","2.30157","2.82947","4.05271","2.5",
"전국","50-54세","고용률","%","63.36961","62.78121","63.54069","65.30356","65.9551","66.07066","66.84346","67.33454","67.8076","64.16282","97.5",
"전국","50-54세","경력단절여성 비율 1","%","6.28298","6.41929","5.96058","9.2756","8.44338","7.18215","7.36178","8.0953","6.91132","6.47596","6.6",
"전국","50-54세","경력단절여성 비율 2","%","17.15237","17.24745","16.34857","26.73357","24.80072","21.16797","22.20309","24.78245","21.46879","18.0705","20.2",
"전국","초졸이하","15-54세 기혼 여성","명","511820.826","451621.665","341984.154","279527.306","240720.683","192766.729","160763.788","128145.891","100684.747","87284.027","79383.795",
"전국","초졸이하","경제활동인구","명","341563.816","296893.229","221631.419","184478.206","160835.431","128112.7","101008.33","82068.483","65486.35","51933.359","45726.505",
"전국","초졸이하","취업자","명","336688.223","292936.019","217499.891","180542.503","157468.322","126198.864","98767.996","79732.489","63733.547","49299.063","44593.38",
"전국","초졸이하","실업자","명","4875.593","3957.21","4131.528","3935.703","3367.109","1913.836","2240.334","2335.994","1752.803","2634.296","1133.125",
"전국","초졸이하","비경제활동인구","명","170257.01","154728.436","120352.735","95049.1","79885.252","64654.029","59755.458","46077.408","35198.397","35350.668","33657.29",
"전국","초졸이하","비취업자(실업자+비경활)","명","175132.603","158685.646","124484.263","98984.803","83252.361","66567.865","61995.792","48413.402","36951.2","37984.964","34790.415",
"전국","초졸이하","경력단절여성","명","23083.518","28911.693","14233.294","19602.968","18163.408","12423.891","10617.937","9042.75","6185.213","5727.058","3905.234",
"전국","초졸이하","경제활동참가율","%","66.73504","65.73937","64.80751","65.99649","66.81413","66.45996","62.83027","64.04301","65.04098","59.49927","57.6",
"전국","초졸이하","실업률","%","1.42743","1.33287","1.86414","2.13342","2.09351","1.49387","2.21797","2.8464","2.67659","5.07245","2.5",
"전국","초졸이하","고용률","%","65.78244","64.86315","63.59941","64.5885","65.41537","65.46714","61.43672","62.22009","63.3001","56.4812","97.5",
"전국","초졸이하","경력단절여성 비율 1","%","4.51008","6.40175","4.16197","7.0129","7.54543","6.44504","6.60468","7.05661","6.14315","6.5614","4.9",
"전국","초졸이하","경력단절여성 비율 2","%","13.18059","18.21948","11.43381","19.80402","21.81729","18.6635","17.12687","18.6782","16.73887","15.07717","11.2",
"전국","중졸","15-54세 기혼 여성","명","1000070.225","892227.053","819663.888","721775.908","610631.459","528540.462","460742.596","395132.238","361026.179","327532.863","284000.443",
"전국","중졸","경제활동인구","명","683190.279","597012.044","545822.689","496095.832","414190.554","355251.645","309464.322","269898.392","240741.18","200595.563","174559.881",
"전국","중졸","취업자","명","668620.863","589383.794","534127.47","484638.381","405026.104","346389.73","298922.354","262404.734","232846.447","188602.92","167503.43",
"전국","중졸","실업자","명","14569.416","7628.25","11695.219","11457.451","9164.45","8861.915","10541.968","7493.658","7894.733","11992.643","7056.451",
"전국","중졸","비경제활동인구","명","316879.946","295215.009","273841.199","225680.076","196440.905","173288.817","151278.274","125233.846","120284.999","126937.3","109440.562",
"전국","중졸","비취업자(실업자+비경활)","명","331449.362","302843.259","285536.418","237137.527","205605.355","182150.732","161820.242","132727.504","128179.73","138929.943","116497.013",
"전국","중졸","경력단절여성","명","57644.908","49318.856","47636.648","60547.795","47360.035","39212.95","39145.731","35109.86","31794.25","25630.057","22855.146",
"전국","중졸","경제활동참가율","%","68.31423","66.91257","66.59104","68.73267","67.82987","67.21371","67.16642","68.30584","66.68247","61.24441","61.5",
"전국","중졸","실업률","%","2.13256","1.27774","2.14268","2.30952","2.21262","2.49455","3.40652","2.77647","3.27934","5.97852","4",
"전국","중졸","고용률","%","66.85739","66.0576","65.16421","67.14527","66.32906","65.53703","64.87838","66.40935","64.49572","57.5829","96",
"전국","중졸","경력단절여성 비율 1","%","5.76409","5.52761","5.81173","8.38872","7.75591","7.4191","8.49623","8.8856","8.80663","7.82519","8",
"전국","중졸","경력단절여성 비율 2","%","17.39177","16.28527","16.68321","25.53278","23.03444","21.52775","24.19087","26.45259","24.80443","18.44819","19.6",
"전국","고졸","15-54세 기혼 여성","명","4908586.283","4684529.32","4648955.551","4536542.221","4428865.047","4250797.984","4086035.869","3825602.092","3716754.901","3552663.625","3393827.968",
"전국","고졸","경제활동인구","명","2994375.82","2841117.036","2820920.542","2825265.504","2807272.421","2692147.792","2624263.451","2481865.489","2393682.215","2197537.721","2131996.581",
"전국","고졸","취업자","명","2922339.828","2780379.593","2760217.967","2743179.722","2727714.001","2623447.725","2552147.698","2404482.197","2320282.015","2123878.403","2059588.718",
"전국","고졸","실업자","명","72035.992","60737.443","60702.575","82085.782","79558.42","68700.067","72115.753","77383.292","73400.2","73659.318","72407.863",
"전국","고졸","비경제활동인구","명","1914210.463","1843412.284","1828035.009","1711276.717","1621592.626","1558650.192","1461772.418","1343736.603","1323072.686","1355125.904","1261831.387",
"전국","고졸","비취업자(실업자+비경활)","명","1986246.455","1904149.727","1888737.584","1793362.499","1701151.046","1627350.259","1533888.171","1421119.895","1396472.89","1428785.222","1334239.25",
"전국","고졸","경력단절여성","명","834372.771","829064.426","796733.005","866537.911","794812.375","702221.654","656162.231","627918.356","561998.628","501129.155","474868.486",
"전국","고졸","경제활동참가율","%","61.00282","60.64893","60.67859","62.27795","63.38582","63.33276","64.22517","64.87516","64.40248","61.85606","62.8",
"전국","고졸","실업률","%","2.40571","2.1378","2.15187","2.90542","2.83401","2.55187","2.74804","3.11795","3.06641","3.3519","3.4",
"전국","고졸","고용률","%","59.53526","59.35238","59.37286","60.46852","61.58946","61.71659","62.46024","62.85239","62.42763","59.7827","96.6",
"전국","고졸","경력단절여성 비율 1","%","16.99823","17.69792","17.13789","19.10129","17.94619","16.51976","16.05865","16.41358","15.12068","14.10573","14",
"전국","고졸","경력단절여성 비율 2","%","42.00751","43.53988","42.18336","48.31917","46.72203","43.15123","42.77771","44.18476","40.24415","35.07379","35.6",
"전국","대졸이상","15-54세 기혼 여성","명","3612776.009","3911369.23","4057465.197","4195265.811","4280862.636","4403529.161","4450910.846","4656402.763","4665347.988","4610345.171","4565304.649",
"전국","대졸이상","경제활동인구","명","1998807.044","2190941.077","2272674.893","2431105.837","2477073.604","2609685.1","2707682.09","2872324.539","2922765.335","2859100.307","2877134.096",
"전국","대졸이상","취업자","명","1960350.295","2155501.817","2232845.275","2367943.054","2407535.375","2553000.711","2634927.194","2802146.139","2860699.591","2795792.077","2810612.056",
"전국","대졸이상","실업자","명","38456.749","35439.26","39829.618","63162.783","69538.229","56684.389","72754.896","70178.4","62065.744","63308.23","66522.04",
"전국","대졸이상","비경제활동인구","명","1613968.965","1720428.153","1784790.304","1764159.974","1803789.032","1793844.061","1743228.756","1784078.224","1742582.653","1751244.864","1688170.553",
"전국","대졸이상","비취업자(실업자+비경활)","명","1652425.714","1755867.413","1824619.922","1827322.757","1873327.261","1850528.45","1815983.652","1854256.624","1804648.4","1814553.094","1754692.593",
"전국","대졸이상","경력단절여성","명","1010476.465","1104105.554","1121407.601","1217071.691","1212999.781","1170447.138","1125419.759","1174420.705","1098582.148","973053.524","946428.075",
"전국","대졸이상","경제활동참가율","%","55.32607","56.01468","56.01218","57.94879","57.86389","59.26349","60.83434","61.68548","62.64839","62.01489","63",
"전국","대졸이상","실업률","%","1.92399","1.61754","1.75254","2.59811","2.80727","2.17208","2.68698","2.44326","2.12353","2.21427","2.3",
"전국","대졸이상","고용률","%","54.26161","55.10863","55.03055","56.44322","56.23949","57.97624","59.19973","60.17835","61.31803","60.64171","97.7",
"전국","대졸이상","경력단절여성 비율 1","%","27.96953","28.22811","27.63813","29.0106","28.33541","26.57975","25.28516","25.22163","23.5477","21.10587","20.7",
"전국","대졸이상","경력단절여성 비율 2","%","61.1511","62.88092","61.45979","66.60409","64.75109","63.24935","61.97301","63.33647","60.87514","53.62497","53.9",
"서울특별시","전체","15-54세 기혼 여성","명","1966228.902","1922886.669","1879863.071","1818927.882","1791072.286","1750141.261","1684130.984","1634673.28","1568166.83","1497095.407","1429456.501",
"서울특별시","전체","경제활동인구","명","1207550.046","1183670.486","1154983.395","1123931.1","1079968.937","1057491.314","1046223.725","1039005.678","982962.176","957264.312","889781.284",
"서울특별시","전체","취업자","명","1178740.309","1159620.465","1125580.332","1086961.845","1046473.769","1034041.325","1008652.642","1005978.898","956533.54","923932.94","864046.214",
"서울특별시","전체","실업자","명","28809.737","24050.021","29403.063","36969.255","33495.168","23449.989","37571.083","33026.78","26428.636","33331.372","25735.07",
"서울특별시","전체","비경제활동인구","명","758678.856","739216.183","724879.676","694996.782","711103.349","692649.947","637907.259","595667.602","585204.654","539831.095","539675.217",
"서울특별시","전체","비취업자(실업자+비경활)","명","787488.593","763266.204","754282.739","731966.037","744598.517","716099.936","675478.342","628694.382","611633.29","573162.467","565410.287",
"서울특별시","전체","경력단절여성","명","348315.444","351973.983","323473.886","358164.526","369048.937","348007.086","348448.489","323799.958","298288.23","230542.661","238642.823",
"서울특별시","전체","경제활동참가율","%","61.41452","61.55696","61.43976","61.79086","60.29734","60.4232","62.12247","63.56045","62.68225","63.94144","62.2",
"서울특별시","전체","실업률","%","2.3858","2.03182","2.54576","3.28928","3.10149","2.21751","3.59111","3.17869","2.68867","3.48194","2.9",
"서울특별시","전체","고용률","%","59.94929","60.30623","59.87566","59.75838","58.42722","59.08331","59.89158","61.54006","60.99692","61.71503","97.1",
"서울특별시","전체","경력단절여성 비율 1","%","17.7149","18.30446","17.20731","19.69097","20.60492","19.88451","20.69011","19.80824","19.02146","15.39933","16.7",
"서울특별시","전체","경력단절여성 비율 2","%","44.23117","46.11418","42.88496","48.93185","49.56348","48.59756","51.58544","51.50356","48.76913","40.22292","42.2",
"서울특별시","15-19세","15-54세 기혼 여성","명","282.056","","","","219.43","204.559","460.022","613.842","","0","",
"서울특별시","15-19세","경제활동인구","명","282.056","","","","0","0","0","613.842","","0","",
"서울특별시","15-19세","취업자","명","282.056","","","","0","0","0","613.842","","0","",
"서울특별시","15-19세","실업자","명","0","","","","0","0","0","0","","0","",
"서울특별시","15-19세","비경제활동인구","명","0","","","","219.43","204.559","460.022","0","","0","",
"서울특별시","15-19세","비취업자(실업자+비경활)","명","0","","","","219.43","204.559","460.022","0","","0","",
"서울특별시","15-19세","경력단절여성","명","","","","","","204.559","","","","0","",
"서울특별시","15-19세","경제활동참가율","%","100","","","","0","0","0","100","","","",
"서울특별시","15-19세","실업률","%","0","","","","","","","0","","","",
"서울특별시","15-19세","고용률","%","100","","","","0","0","0","100","","","",
"서울특별시","15-19세","경력단절여성 비율 1","%","","","","","","100","","","","","",
"서울특별시","15-19세","경력단절여성 비율 2","%","","","","","","100","","","","","",
"서울특별시","20-24세","15-54세 기혼 여성","명","9257.773","6842.009","7156.207","7388.834","7738.947","8163.256","7340.49","10711.425","11272.257","5194.56","2621.579",
"서울특별시","20-24세","경제활동인구","명","4067.386","3322.35","2309.012","2203.615","2512.817","2995.38","2499.538","3658.225","5328.528","2192.86","1288.632",
"서울특별시","20-24세","취업자","명","4067.386","3322.35","2309.012","2203.615","2512.817","2995.38","2161.34","3658.225","5006.733","2192.86","1288.632",
"서울특별시","20-24세","실업자","명","0","0","0","0","0","0","338.198","0","321.795","0","0",
"서울특별시","20-24세","비경제활동인구","명","5190.387","3519.659","4847.195","5185.219","5226.13","5167.876","4840.952","7053.2","5943.729","3001.7","1332.947",
"서울특별시","20-24세","비취업자(실업자+비경활)","명","5190.387","3519.659","4847.195","5185.219","5226.13","5167.876","5179.15","7053.2","6265.52","3001.7","1332.947",
"서울특별시","20-24세","경력단절여성","명","1347.417","1399.422","2315.008","2778.219","2601.198","2207.668","1631.496","2519","2067.384","300.17","149.17",
"서울특별시","20-24세","경제활동참가율","%","43.93482","48.55811","32.26586","29.82358","32.46975","36.69345","34.05138","34.15255","47.27117","42.21455","49.2",
